character	parent	image(s)	caption(s)	description
Axes and Orientation	.	anterior-posterior.png|dorsal-ventral.png|proximal-distal.png	Illustration of the anterior-posterior axis of the crab. Figure modified from Crane (1975).|Illustration of the dorsal-ventral axis of the crab. Figure modified from Crane (1975).|Illustration of the proximal-distal axes of the crab. Figure modified from Crane (1975).	"This section describes the general terms used to orient different parts of the crab. The major axes run from front-to-back, top-to-bottom, and from center-to-exterior."
Abdomen	.	abdomen1.png|abdomen2.png	The abdomen from a ventral view of the crab. Figured modified from Crane (1975).|A comparison between typical male (left) and female (right) abdominal shapes. Figure modified from Crane (1975).	"The abdomen is the third major part of the body of arthropods. In true crabs, the abdomen is normally wrapped under the body and pressed against the thorax (unlike in lobsters, for example, where the abdomen is the tail of the lobster). The width of the abdomen generally varies quite a bit between male and female fiddler crabs. In males, the abdomen is relatively narrow and rectangular and takes up only about a third of the ventral surface of the body. In females, the abdomen is substantially wider and round, taking up most of the ventral surface of the crab. The sex organs (gonopods and gonopores) are located on the hidden side of the abdomen, which can be moved away from the body during mating."
Carapace	.	carapace.png|carapace2.png	The carapace from a dorsal view of the crab. Figured modified from Crane (1975).|Illustration of carpace width and length. Figure modified from Crane (1975).	"The <strong>carapace</strong> is the &ldquo;shell&rdquo; on the back of the crab. Many charactersistics of the carapace are used to distinguish between species. The length of the carapace is measured along the anterior-posterior axis, while the breadth/width of the carapace is usually measured from side-to-side. The breadth is measured between the tips of the antero-lateral angles, which is usually (although not always) the widest part of the carapace."
Limbs	.	limbs.png	The ten decapod limbs are highlighted. Figure modified from Crane (1975).	"Fiddler crabs have ten limbs. The first two limbs at the front of the crab with the claws are known as <strong>chelipeds;</strong> the other eight are <strong>walking legs (ambulatories).</strong> In a male fiddler crab, the limb with the large claw is known as the <strong>major cheliped,</strong> while that with the small claw is the <strong>minor cheliped.</strong> Female fiddler crabs have two small claws resembling the minor claw of the male."
Orbits	.	orbit1.png|orbit2.png	Illustration of the orbits from the anterior view. Figure modified from Crane (1975).|Illustration of the orbits from the side view. Figure modified from Crane (1975).	The orbits are the regions on the front (anterior) of the crab in which contain the eyes and eystalks.
Pterygostomian Region	.	pterygostomian1.png	"The pterygostomian region, from the anterior view of the crab. Figure modified from Crane (1975)."	"The anterior portion of the body below the orbits and above the ventral surface of the crab, surrounding the mouth."
Sternum	.	sternum.png	The sternum from a ventral view of the crab. Figured modified from Crane (1975).	"The sternum is the dorsal surface of the body of the crab, surrounding the abdomen."
Anterior-Posterior Axis	Axes and Orientation	anterior-posterior.png|anterior_view.png	"The anterior-posterior axis, when viewed from the ventral (top) side of the crab. Figure modified from Crane (1975).|View of the anterior side of the crab. Figure modified from Crane (1975)."	The anterior-posterior axis runs from the front to the back of the crab. <strong>Anterior</strong> refers to the front (the side with the eyes and mouth). <strong>Posterior</strong> refers to the rear of the crab.
Dorsal-Ventral Axis	Axes and Orientation	dorsal-ventral.png|dorsal_view.png|ventral_view.png	"The dorsal-ventral axis, when viewed from the anterior (front) of the crab. Figure modified from Crane (1975).|View of the dorsal surface of the crab. Figure modified from Crane (1975).|View of the ventral surface of the crab. Figure modified from Crane (1975)."	The dorsal-ventral axis runs from the top to the bottom of the crab. <strong>Dorsal</strong> refers to the top of the crab when viewed from above (strictly speaking &ldquo;dorsal&rdquo; means back). <strong>Ventral</strong> refers to the bottom of the crab when viewed from above (the part against the ground).
Proximal-Distal Axis	Axes and Orientation	proximal-distal.png|proximal-distal2.png	Illustration of the proximal-distal axis. Figure modified from Crane (1975).|The proximal and distal ends of the walking legs. Figure modified from Crane (1975).	The proximal-distal axis runs from the center of the crab to the exterior. It generall describes whether something is close or far from the center. <strong>Proximal</strong> (near) refers toward the center of the crab. <strong>Distal</strong> (away) refers toward the parts away from the center. The limbs attach to the body at their proximal ends; the tips of the limbs are the distal ends.
