Type	Ref	Author	Year	Title	Image	ext	species	Notes
science	Marcgrave1848	Marcgrave	1648	Maracoani	Marcgrave_Maracoani	png	maracoani	"This drawing is from Marcgrave (1648) and represents the oldest known drawing of a fiddler crab. It was labeled &ldquo;Maracoani&rdquo; and represents the namesake of the species <em class=""species"">Uca maracoani.</em> This identical image was reprinted in Jonston (1650) and in Piso (1658)."
science	Marcgrave1848	Marcgrave	1648	Ciecie Ete	Marcgrave_Ciecie_Ete	png	thayeri	"The other fiddler crab drawing found in Marcrgrave (1648), this was labeled &ldquo;Ciecie Ete&rdquo; (he also refers to a very similar species called &ldquo;Ciecie Panema&rdquo;). This figure is believed to most likely represent <em class=""species"">Uca thayeri.</em> This identical image was reprinted in Jonston (1650)."
science	Marcgrave1848	Marcgrave	1648	Uca Una	Marcgrave_Uca_una	png	n/a	"The drawing from Marcgrave (1648) labled &ldquo;Uca Una&rdquo; that eventually led (starting with an error by Seba) to the fiddler crab genus to be called <em class=""species"">Uca.</em> (A secondary error is Marcgrave's misspelling; it should have been &ldquo;Uça Una.&rdquo;) The figure actually represents the mangrove crab, today known as <em class=""species"">Ucides cordatus.</em> "
science	Petiver1704	Petiver	1704	Cancer parvus quadratus	Petiver_Cancer_parvus_quadratus	png	coarctata	"This drawing is from Petiver (1704). He labeled it <em class=""species"">Cancer parvus quadratus.</em> To me the drawing looks most like the species <em class=""species"">Uca coarctata.</em> "
science	Rumphius1705	Rumphius	1705	Cancer Vocans	Rumphius_Cancer_Vocans	jpg	vocans	"This drawing is from Rumphius (1705). He labeled it <em class=""species"">Cancer Vocans</em>, a species now known as <em class=""species"">Uca vocans.</em> This is the source of the name used by Linneaus when he first included fiddler crabs in his taxonomy."
science	Catesby1743	Catesby	1743	Cancer arenareus (The Sand Crab)	Catesby_Cancer_arenareus	jpg	n/a	"This watercolor is from Catesby (1743). He labeled it <em class=""species"">Cancer arenareus</em>, the &ldqui;Sand Crab.&rdfquo; It is not a fiddler crab, but is rather the closely related ghost crab, <em class=""species"">Ocypode quadrata.</em> Early taxonomists (<em>e.g.,</em> Linnaeus) tended to place this figure with the fiddler crabs. Even though not a fiddler, I include the image on the site largely because it is such a beautiful early painting."
science	Seb1758	Seba	1758	Cancer uka una	Seba_Uca_una	jpg	tangeri	"This drawing is from Seba (1758). He called this <em class=""species"">Cancer uka una, Brasiliensibus,</em> mistakingly naming it after the wrong image from Marcgrave (1648). Today, this drawing is known to be of <em class=""species"">Uca tangeri.</em> This identical image was reprinted in Herbst (1782) as <em class=""species"">Cancer vocans major,</em> in Shaw &amp; Nodder (1802) as <em class=""species"">Cancer uka,</em> and in Latreille (1818) as <em class=""species"">Gelasima Maracoani.</em>"
science	Herbst1782	Herbst	1782	Cancer vocans minor	Herbst_Cancer_vocans_minor	jpg	vocans	"This drawing is from Herbst (1782). It is labeled <em class=""species"">Cancer vocans minor,</em> and is likely <em class=""species"">Uca vocans.</em> "
science	Herbst1790	Herbst	1790	Cancer tetragonon	Herbst_Cancer_tetragonon	jpg	tetragonon	"This drawing is from Herbst (1790). It is the image accompanying the type description of <em class=""species"">Uca tetragonon.</em> This species was, unusually for fiddler crabs, described from a female specimen (which at the time they did not realize were different than males, so no association was made between this specimen and the names associated with fiddlers)."
science	Latreille1818	Latreille	1818	Gelasima Maracoani	Latreille_Gelasima_Maracoani	png	maracoani	"This drawing is from Latreille (1818). It is one of two figures labeled <em class=""species"">Gelasima Maracoani,</em> but unlike the other figure (which is a reproduction of Seba's (1758) drawing) this does appear to be <em class=""species"">Uca maracoani.</em>"
science	n/a	Christophe-Paulin de La Poix de Fr&eacute;minville	~1822-1839	Ocypode Uca	deLaPoix_Ocypoda_Uca	jpg	n/a	"This watercolor is by Christophe-Paulin de La Poix de Fr&eacute;minville, likely painted between 1822 and 1839 based on animals from the Eastern Atlantic. It was probably meant for a naturalist study never completed. The lower crab is titled &ldquo;l'Uca de Marcgrave&rdquo; with the species name <em class=""species"">Ocypoda Uca.</em>. Not a fiddler crab, this is clearly a painting of the mangrove crab <em class=""species"">Ucides cordatus</em> whose name has so often been mixed up with the fiddler crab genus (as described elsewhere on the site).<p>The upper crab is clearly a swimming crab from the family Portunidae; I don't know whether it is simply the Atlantic Blue Crab (<em class=""species"">Callinectes sapdius</em>) or another species from that family. The given name, which is not a recognized name or synoynm, refers to the four spots on the carapace.</p><p>This image is taken from the website of the Amon Carter Museum of American Art, Fort Worth, Texas, where the original watercolor is currently held in storage."
science	Desmarest1825	Desmarest	1825	Gelasimus Marionis	Desmarest_Gelasimus_Marionis	png	vocans	"This drawing is from Desmarest (1825). It is the image accompanying the type description of <em class=""species"">Gelasimus Marionis,</em> now known to be <em class=""species"">Uca vocans.</em> This figure was reprinted by Audouin (1829)."
science	GuerinMeneville1829.1	Guérin-Méneville	1829	Gelasimus Duperreyi	GuerinMeneville_Gelasimus_duperreyi	jpg	tetragonon	"This drawing is from Guérin-Méneville (1829). He labeled it <em class=""species"">Gelasimus Duperreryi</em>, a species now known as <em class=""species"">Uca tetragonon.</em> He later used this same image in another work (1829-1844) but labeled it as yet a different species, <em class=""species"">Gelasimus chlorophthalmus,</em> (the label of which is incorrect; characteristics of the drawing imply it is is <em class=""species"">U. tetragonon</em>)."
science	Eydoux1835	Eydoux	1835	Gelasimus tangeri	Eydoux_Gelasimus_tangeri	jpg	tangeri	"This drawing is from Eydoux (1835). It is the image accompanying the type description of <em class=""species"">Uca tangeri.</em>"
science	Latreille1837	Latreille	1837	Gelasimus chlorophthalmus	Latreille_Gelasimus_chlorophthalmus	jpg	chlorophthalmus	"This drawing is from Latreille (1837), which is an English translation of the 2nd edition (1828) of Cuvier's <em>Le Regene Animal.</em> I believe this figure originally comes from the 1828 book, although I haven't seen the plates from the earlier work to confirm. It is labeled <em class=""species"">Gelasimus chlorophthalmus.</em>"
science	Latreille1837	Latreille	1837	Gelasimus marionis	Latreille_Gelasimus_marionis	jpg	vocans	"This drawing is from Latreille (1837), which is an English translation of the 2nd edition (1828) of Cuvier's <em>Le Regene Animal.</em> I believe this figure originally comes from the 1828 book, although I haven't seen the plates from the earlier work to confirm. It is labeled <em class=""species"">Gelasimus marionis.</em>"
science	MilneEdwards1837.1	Milne Edwards	1837	Gelasimus vocans	MilneEdwards_Gelasimus_vocans	jpg	n/a	"This drawing is from Milne Edwards (1837). He labels it <em class=""species"">Gelasimus vocans,</em> although it is almost certainly a different species. Which species is not clear at this time."
