Reference	#	Scientific Name	Common Name	Where	Type	Applies to	#	Actual	Source of Actual	Species Notes	General Notes
Marcgrave1648	1	Maracoani	.	figure/text p. 184	location	Brazil	.	maracoani	<	.	.
Marcgrave1648	2	Ciecie Ete	Cranguersinho des Manges	figure/text p. 185	location	Brazil	.	thayeri	Rathbun1918.2	Common name is 17th century Brazilian Portuguese for &ldquo;Mangrove Crab&rdquo;?	.
Marcgrave1648	3	Ciecie Panema	.	text p. 185	location	Brazil	.	?	.	.	.
Marcgrave1648	4	Uca una	.	figure/text p. 184	location	Brazil	.	>Ucides cordatus	.	.	.
Jonston1650	1	Ciecie Panema	.	plate 9: figure 7	citation	Marcgrave1648	3	=	=	Name is only on figure, not in text	This work copies part of Marcgrave's (1648) text and figures without citation.
Jonston1650	2	Ciecie Ete	Cranguersinho des Manges	text p. 33	citation	Marcgrave1648	2	=	=	Common name is 17th century Brazilian Portuguese for &ldquo;Mangrove Crab&rdquo;?	.
Jonston1650	3	Maracoani	.	text p. 34; plate 9: figure 12	citation	Marcgrave1648	1	=	=	.	.
Jonston1650	4	Uca Una	.	text p. 33-34; plate 9: figure 9	citation	Marcgrave1648	4	=	=	.	.
Piso1658	1	Maracoani	.	figure/text p. 76-77	citation	Marcgrave1648	1	=	=	.	A poorly edited copy of Marcgrave (1648)
Piso1658	2	Uça una	.	figure/text p. 76	citation	Marcgrave1648	4	=	=	He spells Uça correctly	.
Sachs1665	1	Maracoani	.	text p. 117-118	citation	Marcgrave1648	1	=	=	.	.
Sachs1665	2	Ciecie Ete	.	text p. 119	citation	Marcgrave1648	2	=	=	.	.
Sachs1665	3	Ciecie Panema	.	text p. 119	citation	Marcgrave1648	3	=	=	.	.
Sachs1665	4	Uca Una	.	plate 5	citation	Marcgrave1648	4	=	=	.	.
Petiver1704	1	Cancer parvus quadratus	.	plate 78: figure 5	specimen	Luzon, Philippines	.	coarctata	Crane1975	.	.
Rumphius1705	1	Cancer Vocans	Cattam Pangel	text p. 14-15; plate 10: figure E	location	Indonesia	.	vocans	<	The species name means &ldquo;Gesturing Crab&rdquo; in latin; the common name is sort of Malay meaning &ldquo;Summing Crab&rdquo;	.
Rumphius1705	2	Cancer Raniformis	Cattam Codoc	text p. 13; plate 7: figures T, V	location	Indonesia	.	>Ranina ranina	Holthuis1959.3	.	.
Lawson1709	1	.	Fiddler; Fidlars	text p. 121, 153, 162	location	Atlantic coast of United States	.	?	.	Likely refers to both {{pugilator}} and {{pugnax}}.	.
Rumphius1711	1	Cancer Vocans	Cattam Pangel; Roeper; Roepende Krabbe	text p. 2; plate 10: figure E	citation	Rumphius1705	1	=	=	.	This book is predominantly a reproduction of the plates from his 1705 work.
Ryoan1712	1	.	つまじろ, 望潮蟹	Volume 46, entry in lower right corner of page with crabs	location	Japan	.	>&ldquo;fiddler crabs&rdquo;	Harada1993	.	An illustrated encylopedia from 1713, volume 46 inludes a crab called &ldquo;tumajiro&rdquo; which Harada (1993) has stated might be a fiddler crab (and I can concur). The Chinese name in the entry "望潮蟹" roughly translates to "hope tide crabs" and is still used as a Chinese term for fiddler crabs today.
Petiver1713	1	Cancer vocans	Cattam Pangel; Roeper; Roepende Krabbe	text p. 2; Plate 9: figure 5	citation	Rumphius1705	1	=	=	.	This is essentially a reproduction of the figures from Rumphius (1705).
Lawson1714	1	.	Fiddler; Fidlars	text p. 121, 162	location	Atlantic coast of United States	.	?	.	Likely refers to both {{pugilator}} and {{pugnax}}.	 An updated edition of his 1709 book.
Sloane1725	1.1	Cancer palustris	Maracoani	text p. 269-270: 2	location	Jamaica	.	major	>MSR:synonymy/geography	.	The Latin means &ldquo;marsh crab.&rdquo;
Sloane1725	1.2	Cancer palustris	Maracoani	text p. 269-270: 2	citation	Marcgrave1648	1	=	=	.	.
Brickell1737	1	.	Fiddlers	text p. 123-124, 246	location	North Carolina, USA	.	?	.	Likely refers to both {{pugilator}} and {{pugnax}}.	A moderately-plagiarized rewrite of Lawson's books
Rumphius1740	1	Cancer Vocans	Cattam Pangel	text p. 14-15; plate 10: figure E	location	Indonesia	.	vocans	<	.	.
Rumphius1741	1	Cancer Vocans	Cattam Pangel	text p. 14-15; plate 10: figure E	location	Indonesia	.	vocans	<	.	.
Catesby1743	1	Cancer arenarius	Sand Crab	text p. 35; figure 35	location	Atlantic coast of United States	.	>Ocypode quadrata	>MSR	.	.
Brown1756	1	Cancer major albidus	Mangrove Crab	text p. 422: #15	location	Jamaica	.	.	.	.	.
Linnaeus1758	1.1	Cancer vocans	.	text p. 626: #6	citation	Rumphius1705	1	=	=	.	.
Linnaeus1758	1.2	Cancer vocans	.	text p. 626: #6	citation	Catesby1743	1	=	=	.	.
Seba1758	1	Uka una	.	text p. 44; plate 18: figure 8	specimen	Brazil <!>	.	tangeri	Bott1973.1	Applied name to wrong species. Specimen not actually from Brazil.	.
Seba1758	2	Cancer marinus, minor, vociferans	.	text p. 48; plate 19: figure 15	specimen	?	.	tetragonon	Crane1975	.	.
Seba1758	3	Cancer pagurus	.	text p. 51; plate 20: figure 4	specimen	Western Atlantic Ocean	.	.	.	.	.
Wenyi1760	1	.	仙蟹 (Angel Crab)	?	location	Taiwan	.	lactea	Ng2009	.	.
Linnaeus1763	1.1	Cancer Vocans	.	text p. 414	citation	Linnaeus1758	1.1	=	=	.	.
Linnaeus1763	1.2	Cancer Vocans	.	text p. 414	citation	Marcgrave1648	1	=	=	.	.
Linnaeus1763	1.3	Cancer Vocans	.	text p. 414	citation	Piso1658	1	=	=	.	.
Linnaeus1763	1.4	Cancer Vocans	.	text p. 414	citation	Rumphius1705	1	=	=	.	.
Linnaeus1763	1.5	Cancer Vocans	.	text p. 414	citation	Catesby1743	1	=	=	.	.
Linnaeus1763	1.6	Cancer Vocans	.	text p. 414	citation	Seba1758	1	=	=	.	.
Linnaeus1763	2	Cancer Cordatus	.	text p. 414	location	Suriname	.	>Ucides cordatus	.	.	.
Gronovius1764	1.1	.	.	text p. 224: #965	citation	Petiver1704	1	=	=	.	.
Gronovius1764	1.2	.	.	text p. 224: #965	citation	Marcgrave1648	2	=	=	.	.
Gronovius1764	1.3	.	.	text p. 224: #965	citation	Rumphius1705	1	=	=	.	.
Gronovius1764	1.4	.	.	text p. 224: #965	citation	Jonston1650	1	=	=	.	.
Linnaeus1764	1	Cancer raninus	.	text p. 430	citation	Rumphius1705	2	=	=	.	.
Linnaeus1766	1.1	Cancer vocans	.	text p. 1041: #14	citation	Marcgrave1648	1	=	=	.	.
Linnaeus1766	1.2	Cancer vocans	.	text p. 1041: #14	citation	Piso1658	1	=	=	.	.
Linnaeus1766	1.3	Cancer vocans	.	text p. 1041: #14	citation	Seba1758	1	=	=	.	.
Linnaeus1766	1.4	Cancer vocans	.	text p. 1041: #14	citation	Rumphius1705	1	=	=	.	.
Linnaeus1766	1.5	Cancer vocans	.	text p. 1041: #14	citation	Catesby1743	1	=	=	.	.
Linnaeus1766	1.6	Cancer vocans	.	text p. 1041: #14	citation	Petiver1704	1	=	=	.	.
