Level	Text
T	Fiddler Crab
P	The common English term &ldquo;fiddler crab&rdquo; appears to have originated on the East coast of the United States (or more precisely, among the English speaking residents of the British colonies that eventually becamse the U.S.). Although the name is commonly used in English, many people are unaware of why the name is applied to these crabs. Field observation makes it obvious that the name derives from the motion of the small claw when male crabs are feeding. The constant movement of the small claw from the surface to the mouth and back makes it appear as if the crab is moving a bow across the large claw (the fiddle). As is shown below, over time many scientists have struggled to come up with an explanation for this name, with mistaken interpretations at times carrying over from person to person.
P	The earliest mention of this name appears in [[Lawson1709,John Lawson's <em>A New Voyage to Carolina</em>]], published in 1709 (and republished as [[Lawson1714,<em>The History of Carolina</em>]] in 1714) (p. 121):
B	There is a sort of small Land-Crab, which we call a Fiddler, that runs into a Hole when any thing pursues him.
P	and again (p. 162):
B	Fidlars are a sort of small Crabs, that lie in Holes in the Marshes. The Raccoons eat them very much. I never knew any one try, whether they were good Meat or no.
P	John Brickell [[Brickell1737,(1737)]] more-or-less plagiarized Lawson's book, although he added a tiny bit of detail (pp. 123-124):
B	There is a sort of <em>Land-Crabs</em> in <em>Carolina,</em> which are commonly called <em>Fiddlers,</em> these live all along the Sea-shoar, and have Holes in the Sand, into which they run when pursued by any kind of thing. These <em>Crabs</em> the <em>Raccoon</em> takes by putting his fore Foot into their Hole and pulling them out, which is very diverting with a tame one.
P	and (p. 246):
B	The <em>Fiddlers,</em> are a sort of small <em>Crab</em> that lie in Holes in low, wet, and marshy Ground. The <em>Racoons</em> are very fond of them, hunt for them in those places, and eat them. I never knew any of them eat by the <em>Christians,</em> so cannot inform you whether they are good or no.
P	A century later, in discussing <em class="species">Ocypode pugilator</em> (<em class="species">Uca pugilator</em>), [[Say1817,.out]] reports (p. 72):
B	This is the animal so well known to the inhabitants of the sea coast under the name of &ldquo;Fiddler,&rdquo; an appellation almost universal, and probably derived from a supposed similitude between the large hand of the male and the fiddler or violin.
P	Note that he associates the name with the large claw, but without the motion&mdash;a half-correct answer we will see again. [[Gould1841,.out]] has a similar explanation when discussing the crab <em class="species">Gelasimus vocans</em> (likely both <em class="species">Uca pugilator</em> and <em class="species">U. pugnax</em>) in Massachusetts (p. 325):
B	It is well distinguished by its large claw, which is sometimes on the right side and sometimes on the left, and has gained for it the name of the &ldquo;Fiddler Crab.&rdquo;
P	[[DeKay1844,.out]] uses the term with respect to the same species in New York, but with a slightly different explanation (p. 14):
B	The movable finger is curved, and extends somewhat beyond the tip of the other, which is almost straight ; from this results a figure somewhat resembling the bow of a violin, and has probably suggested its popular name of <em>Fiddler Crab.</em>
P	His explanation of the origin of the name is unusual: that the curving dactyl on the large claws looks like the bow over the violin (the pollex and manus).
P	In the book [[Lord1867,<em>Crab, Shrimp, and Lobster Lore</em> (1867)]], William Lord reports a different spin on the fishermen's perception of the fiddler crab (p. 29-30):
B	These are the <em>swimming Crabs,</em> of which there are numerous species. These differ materially from the kinds we have described, in habits, appearance, and structure. By the use of their powerful oar-like legs they are enabled to propel themselves through the water with great rapidity and precision, and by darting among the meshes of the fishing-nets they becomes so helplessly entangled, that a &ldquo;<em>Fiddler Crab</em>&rdquo; (as it is sometimes called from the rapidity with which it works its elbows) in a <em>transel net</em>, is often used by fishermen as a standard with which to compare the cases of the most utter bewilderment.
P	Mark Twain also references them in Chapter 48 of [[Twain1883,<em>Life on the Mississippi</em> (1883)]]:
B	The drainage-ditches were everywhere alive with little crabs&mdash;&lsquo;fiddlers.&rsquo; One saw them scampering sidewise in every direction whenever they heard a disturbing noise. Expensive pests, these crabs; for they bore into the levees, and ruin them.
