Reference(s)	Species	Total	Right	Left	% Right	% Left	Note
Ho1993	tetragonon	31	29	2	0.935	0.065	.
Jones1982	vomeris	417	413	4	0.990	0.010	Right/left counts derived from reported totals and proportions
Jones1982	dampieri	76	72	4	0.950	0.050	Right/left counts derived from reported totals and proportions
Jones1982	tetragonon	12	12	0	1.000	0.000	Right/left counts derived from reported totals and proportions
Jones1982	capricornis	67	35	32	0.520	0.480	Right/left counts derived from reported totals and proportions
Jones1982	sp. a	108	62	46	0.570	0.430	Right/left counts derived from reported totals and proportions
Jones1982	sp. b	66	39	27	0.590	0.410	Right/left counts derived from reported totals and proportions
Jones1982	dussumieri	76	47	29	0.620	0.380	Right/left counts derived from reported totals and proportions
Jones1982	coarctata	155	87	68	0.560	0.440	Right/left counts derived from reported totals and proportions
Jones1982	flammula	326	156	170	0.480	0.520	Right/left counts derived from reported totals and proportions
Jones1982	signata	333	180	153	0.540	0.460	Right/left counts derived from reported totals and proportions
Jones1982	sp. c	593	320	273	0.540	0.460	Right/left counts derived from reported totals and proportions
Jones1982	longidigitum	20	8	12	0.400	0.600	Right/left counts derived from reported totals and proportions
Jones1982	seismella	388	198	190	0.510	0.490	Right/left counts derived from reported totals and proportions
Jones1982	polita	125	69	56	0.550	0.450	Right/left counts derived from reported totals and proportions
Jones1982	triangularis	28	17	11	0.610	0.390	Right/left counts derived from reported totals and proportions
Jones1982	mjobergi	114	62	52	0.540	0.460	Right/left counts derived from reported totals and proportions
Jones1982	perplexa	109	56	53	0.510	0.490	Right/left counts derived from reported totals and proportions
Frith1977.2	tetragonon	93	90	3	0.968	0.032	.
Takeda1973	jocelynae	567	554	13	0.977	0.023	.
Williams1981	vomeris	489	472	15	0.965	0.031	Right/left counts derived from reported totals and proportions. Does not add up to 100% because 1 individual had 2 large claws, but even accounting for that there still seems to be one individual missing (likely the reported %'s were slightly off due to rounding)
Williams1981	vomeris	50	48	2	0.960	0.040	Right/left counts derived from reported totals and proportions
Williams1981	vomeris	105	100	5	0.952	0.048	Right/left counts derived from reported totals and proportions
Williams1981	vocans	263	256	7	0.973	0.027	Right/left counts derived from reported totals and proportions
Gibbs1974	burgersi	357	164	193	0.459	0.541	.
Krishnan1992.3	bengali	263	132	131	0.502	0.498	These data are from Table I and reflect enlarged claws prior to experiment
Rosenberg2000	annulipes	7	4	3	0.571	0.429	.
Rosenberg2000	arcuata	17	7	10	0.412	0.588	.
Rosenberg2000	argillicola	1	0	1	0.000	1.000	.
Rosenberg2000	batuenta	21	10	11	0.476	0.524	.
Rosenberg2000	beebei	50	22	28	0.440	0.560	.
Rosenberg2000	bellator	6	4	2	0.667	0.333	.
Rosenberg2000	bengali	1	1	0	1.000	0.000	.
Rosenberg2000	borealis	50	47	3	0.940	0.060	.
Rosenberg2000	brevifrons	6	3	3	0.500	0.500	.
Rosenberg2000	burgersi	5	2	3	0.400	0.600	.
Rosenberg2000	capricornis	2	0	2	0.000	1.000	.
Rosenberg2000	chlorophthalmus	3	3	0	1.000	0.000	.
Rosenberg2000	coarctata	3	2	1	0.667	0.333	.
Rosenberg2000	coloradensis	7	3	4	0.429	0.571	.
Rosenberg2000	crassipes	4	3	1	0.750	0.250	.
Rosenberg2000	crenulata	5	2	3	0.400	0.600	.
Rosenberg2000	cumulanta	7	5	2	0.714	0.286	.
Rosenberg2000	dampieri	2	2	0	1.000	0.000	.
Rosenberg2000	deichmanni	52	27	25	0.519	0.481	.
Rosenberg2000	demani	3	3	0	1.000	0.000	.
Rosenberg2000	dorotheae	9	4	5	0.444	0.556	.
Rosenberg2000	dussumieri	4	2	2	0.500	0.500	.
Rosenberg2000	ecuadoriensis	13	9	4	0.692	0.308	.
Rosenberg2000	elegans	2	0	2	0.000	1.000	.
Rosenberg2000	festae	50	18	32	0.360	0.640	.
Rosenberg2000	flammula	10	5	5	0.500	0.500	.
Rosenberg2000	forcipata	4	2	2	0.500	0.500	.
Rosenberg2000	formosensis	1	0	1	0.000	1.000	.
Rosenberg2000	galapagensis	10	6	4	0.600	0.400	.
Rosenberg2000	herradurensis	6	5	1	0.833	0.167	.
Rosenberg2000	hesperiae	9	8	1	0.889	0.111	.
Rosenberg2000	heterpleura	4	1	3	0.250	0.750	.
Rosenberg2000	hirsutimanus	2	1	1	0.500	0.500	.
Rosenberg2000	inaequalis	33	19	14	0.576	0.424	.
Rosenberg2000	insignis	5	1	4	0.200	0.800	.
Rosenberg2000	intermedia	1	1	0	1.000	0.000	.
Rosenberg2000	inversa	4	2	2	0.500	0.500	.
Rosenberg2000	lactea	6	2	4	0.333	0.667	.
Rosenberg2000	latimanus	4	2	2	0.500	0.500	.
Rosenberg2000	leptodactyla	5	1	4	0.200	0.800	.
Rosenberg2000	limicola	1	0	1	0.000	1.000	.
Rosenberg2000	longidigitum	6	1	5	0.167	0.833	.
Rosenberg2000	major	3	2	1	0.667	0.333	.
Rosenberg2000	maracoani	7	3	4	0.429	0.571	.
Rosenberg2000	marguerita	1	1	0	1.000	0.000	.
Rosenberg2000	minax	6	2	4	0.333	0.667	.
Rosenberg2000	mjoebergi	6	5	1	0.833	0.167	.
Rosenberg2000	mordax	8	5	3	0.625	0.375	.
Rosenberg2000	excisa	4	4	0	1.000	0.000	.
Rosenberg2000	oerstedi	7	5	2	0.714	0.286	.
Rosenberg2000	ornata	1	1	0	1.000	0.000	.
Rosenberg2000	panacea	5	1	4	0.200	0.800	.
Rosenberg2000	panamensis	10	4	6	0.400	0.600	.
Rosenberg2000	paradussumieri	4	1	3	0.250	0.750	.
Rosenberg2000	perplexa	2	2	0	1.000	0.000	.
Rosenberg2000	polita	7	3	4	0.429	0.571	.
Rosenberg2000	princeps	1	0	1	0.000	1.000	.
Rosenberg2000	pugilator	50	24	26	0.480	0.520	.
Rosenberg2000	pugnax	50	25	25	0.500	0.500	.
Rosenberg2000	rapax	4	0	4	0.000	1.000	.
Rosenberg2000	rhizophorae	6	3	3	0.500	0.500	.
Rosenberg2000	rosea	2	0	2	0.000	1.000	.
Rosenberg2000	saltitanta	50	23	27	0.460	0.540	.
Rosenberg2000	seismella	6	2	4	0.333	0.667	.
Rosenberg2000	signata	3	2	1	0.667	0.333	.
Rosenberg2000	sindensis	6	1	5	0.167	0.833	.
Rosenberg2000	speciosa	6	1	5	0.167	0.833	.
Rosenberg2000	spinicarpa	2	2	0	1.000	0.000	.
Rosenberg2000	stenodactylus	50	22	28	0.440	0.560	.
Rosenberg2000	stylifera	3	2	1	0.667	0.333	.
Rosenberg2000	subcylindrica	13	8	5	0.615	0.385	.
