Full Location Name	Latitude	Longitude	Public Notes	Private Notes	Trimmed Name	Alternate Names	Parent	Secondary Parents	Validity
Abdel Kader	.	.	Presumably a town or island along the southern part of the Red Sea or Gulf of Aden (perhaps in Eritrea, Djibouti, or Somalia)	.	Abdel Kader	.	.	.	.
Divers	.	.	Presumably a town or island on the Atlantic coast of Africa	.	Divers	.	.	.	.
Isola di Chojama	.	.	Presumably an island in or near southern Somalia	.	Isola di Chojama	.	.	.	.
Isole Key	.	.	An island of the Indo West Pacific, but could be almost anywhere from east Africa through the central Pacific	.	Isole Key	.	.	.	.
Lelemboli	.	.	Probably somewhere in or near Indonesia, the Philippines, or New Guinea	.	Lelemboli	.	.	.	.
Adriatic Sea	43.000000	15.000000	Stossich (1878) reported a fiddler crab from the Adriatic Sea, but this appears to be a clear error. Either the species was not a fiddler crab (most likely explanation) or the collection location was very wrong.	.	Adriatic Sea	.	.	Europe	X
Africa	10.800000	19.500000	.	.	Africa	.	.	.	.
Angola	-6.140734	12.352117	.	Using Soyo	Angola	.	.	Africa;Atlantic coast of Africa	.
Antigua and Barbuda	17.385287	-61.786240	.	.	Antigua and Barbuda	.	.	Caribbean;Leeward Islands, Lesser Antilles	.
Antilles	19.067361	-72.798457	.	Using Haiti	Antilles	.	West Indies	.	.
Argentina	-34.591311	-58.366439	.	Using Buenos Aires	Argentina	.	.	Atlantic coast of South America	.
Atlantic Ocean	16.700000	-41.000000	.	.	Atlantic Ocean	.	.	.	.
Australasia	-38.107483	160.544277	Region consisting of Australia, New Zealand, and some neighboring islands	.	Australasia	.	Oceania	.	.
Australia	-17.578723	140.219637	.	.	Australia	.	.	Australasia	.
Bangladesh	22.653716	90.782039	.	.	Bangladesh	.	.	Bay of Bengal	.
Barbados	13.177048	-59.536211	.	.	Barbados	.	.	Caribbean;Lesser Antilles	.
Bay of Bengal	13.772651	87.320970	.	.	Bay of Bengal	.	Indian Ocean	.	.
Belize	17.190845	-88.318569	.	.	Belize	.	.	Central America;Atlantic coast of Central America	.
Borneo	1.000000	114.000000	The island in general, rather than belonging under one of the three countries on the island.	.	Borneo	.	.	Western Pacific Ocean;Malay Archipelago	.
Brazil	-5.773939	-35.205500	.	Using Natal	Brazil	.	.	Atlantic coast of South America	.
British Virgin Islands	18.431001	-64.626969	.	.	British Virgin Islands	.	.	Caribbean;Leeward Islands, Lesser Antilles	.
Cameroon	4.051828	9.767382	.	.	Cameroon	.	.	Africa;Atlantic coast of Africa;Gulf of Guinea	.
Canada	48.428197	-123.466956	.	Using Vancouver Island	Canada	.	.	North America	X
Caribbean	19.067361	-72.798457	.	Using Haiti	Caribbean	.	.	Western Atlantic Ocean	.
Central America	13.000000	-85.300000	.	.	Central America	.	.	.	.
Chagos Archipelago	-5.998410	71.503033	.	.	Chagos Archipelago	.	.	Indian Ocean	.
Chile	-25.335191	-70.505536	.	Used point a bit N of central W coast	Chile	.	.	Pacific coast of South America	.
China	29.817896	121.868542	.	.	China	.	.	Western Pacific Ocean	.
Cocos (Keeling) Islands	-12.116667	96.900000	.	.	Cocos (Keeling) Islands	.	.	Indian Ocean	.
Colombia	7.738336	-77.312599	.	Using spot near Panama, midway between oceans	Colombia	.	.	South America	.
Cook Islands	-21.200000	-159.766667	.	.	Cook Islands	.	.	Polynesia	.
Costa Rica	9.907572	-83.925784	.	.	Costa Rica	.	.	Central America	.
Cuba	22.064379	-79.476363	.	.	Cuba	.	.	Caribbean;Greater Antilles	.
Curaçao	12.183333	-69.000000	.	.	Curaçao	.	.	Caribbean;ABC Islands, Leeward Antilles	.
Democratic Republic of the Congo	-6.028319	12.459611	.	Using Parc marin des mangroves	Democratic Republic of the Congo	.	.	Africa;Atlantic coast of Africa	.
Djibouti	11.588333	43.145000	.	.	Djibouti	.	.	Africa;Indian coast of Africa;Gulf of Aden	.
Dominica	15.429909	-61.338679	.	.	Dominica	.	.	Caribbean;Windward Islands, Lesser Antilles	.
Indian coast of Africa	-6.800000	39.283333	.	Using Dar es Salaam	Indian coast of Africa	.	Africa	Indian Ocean	.
Ecuador	-0.967795	-80.707970	.	Using Manta	Ecuador	.	.	Pacific coast of South America	.
Egypt	25.967297	34.357588	.	.	Egypt	.	.	Middle East;Red Sea;Africa	.
El Salvador	13.355678	-89.036220	.	.	El Salvador	.	.	Central America;Pacific coast of Central America	.
England	51.541388	0.580856	Couch (1838) reported a fiddler crab from Cornwall, England, but the species turned out to be from the genus <em class="species">Goneplax</em>	.	England	.	.	Europe	X
Equatorial Guinea	1.853792	9.778701	.	Using Bata	Equatorial Guinea	.	.	Africa;Atlantic coast of Africa;Gulf of Guinea	.
Eritrea	15.609722	39.450000	.	Includes Ethiopia. Using Massawa	Eritrea	.	.	Red Sea;Africa	.
Europe	36.022659	-5.607196	.	Using Andalusia, Spain	Europe	.	.	Eastern Atlantic Ocean	.
Fiji	-18.000000	179.000000	.	.	Fiji	.	.	Melanesia	.
French Guiana	5.198095	-52.694248	.	.	French Guiana	.	.	Atlantic coast of South America	.
French Polynesia	-17.533333	-149.566667	.	.	French Polynesia	.	.	Polynesia	.
Gabon	0.416894	9.473080	.	Using Libreville	Gabon	.	.	Africa;Atlantic coast of Africa	.
Galápagos Islands	-0.666667	-90.550000	.	.	Galápagos Islands	.	.	Eastern Pacific Ocean	.
Ghana	5.203376	-1.074352	.	.	Ghana	Gold Coast	.	Africa;Atlantic coast of Africa;Gulf of Guinea	.
Guadeloupe	16.245455	-61.548555	.	.	Guadeloupe	.	.	Caribbean;Leeward Islands, Lesser Antilles	.
Guam	13.451944	144.765478	.	.	Guam	.	.	Micronesia	.
Guatemala	14.023968	-91.335411	.	Using Pacific coast	Guatemala	.	.	Central America	.
Guinea	9.509167	-13.712222	.	Using Conakry	Guinea	.	.	Africa;Atlantic coast of Africa	.
Guinea-Bissau	11.850000	-15.566667	.	Using Bissau	Guinea-Bissau	.	.	Africa;Atlantic coast of Africa	.
Gulf of Aden	12.565854	47.752915	.	Using center of gulf	Gulf of Aden	.	.	Arabian Sea	.
Guyana	6.843086	-58.147570	.	.	Guyana	British Guiana	.	Atlantic coast of South America	.
Hispaniola	18.956123	-71.345057	.	.	Hispaniola	.	Greater Antilles	Caribbean	.
Honduras	14.729724	-86.984275	.	Used mid-Atlantic coast	Honduras	.	.	Central America	.
India	8.118850	77.528185	.	Using southern tip	India	.	.	Indian Ocean	.
Indian Ocean	8.118850	77.528185	.	Using southern tip of India	Indian Ocean	.	.	Indo-West Pacific Oceans	.
Indonesia	-5.115918	119.410800	.	Using Makassar	Indonesia	.	.	Malay Archipelago	.
Indo-West Pacific Oceans	-2.933333	107.916667	.	.	Indo-West Pacific Oceans	.	.	.	.
Iran	26.560003	54.551290	.	.	Iran	.	.	Middle East	.
Iraq	29.906593	48.453944	.	.	Iraq	.	.	Middle East;Persian Gulf	.
Ivory Coast	5.357523	-4.012824	.	Using Abidjian	Ivory Coast	.	.	Africa;Atlantic coast of Africa;Gulf of Guinea	.
Jamaica	18.188113	-77.361859	.	.	Jamaica	.	.	Caribbean;Greater Antilles	.
Japan	34.221423	135.138759	.	Using Wakayma	Japan	.	.	Western Pacific Ocean	.
Kenya	-2.679131	40.226366	.	.	Kenya	.	.	Africa;Indian coast of Africa	.
Kiribati	1.857194	-157.384859	.	.	Kiribati	.	.	Micronesia	.
Korea	34.765422	127.687029	The entire Korean peninsula, primarily used for non-specific records prior to the split between the North and South.	.	Korea	.	.	Western Pacific Ocean	.
Kuwait	29.376214	47.977851	.	.	Kuwait	.	.	Middle East;Persian Gulf	.
Liberia	6.313333	-10.801389	.	.	Liberia	.	.	Africa;Atlantic coast of Africa	.
Madagascar	-16.185357	44.458806	.	.	Madagascar	.	.	Africa;Indian Ocean	.
Malay Archipelago	-2.933333	107.916667	.	.	Malay Archipelago	East Indies;Eastern Seas	.	.	.
Malaysia	2.293179	103.942086	.	.	Malaysia	.	.	.	.
Maldives	3.333333	73.366667	.	.	Maldives	.	.	Indian Ocean	.
Mariana Islands	16.616667	145.616667	.	.	Mariana Islands	.	.	Micronesia	.
Marshall Islands	7.116667	171.066667	.	.	Marshall Islands	.	.	Micronesia	.
Mascarene Islands	-20.716667	56.616667	.	.	Mascarene Islands	.	.	Indian Ocean	.
Mauritania	18.075318	-15.961116	.	Using Nouakchott	Mauritania	.	.	Africa;Atlantic coast of Africa	.
Mauritius, Mauritius (Republic)	-20.200000	57.500000	.	.	Mauritius	Isle de France	Mauritius (Republic)	.	.
Mayotte	-12.819304	45.157894	.	.	Mayotte	.	.	Indian Ocean	.
Mexico	20.192504	-99.950469	.	.	Mexico	.	.	North America	.
Micronesia	13.051350	156.627579	This refers to the broad island region and not the country with the same name.	.	Micronesia	.	Oceania	Western Pacific Ocean	.
Middle East	22.800000	47.700000	.	.	Middle East	.	.	Indian Ocean	.
Morocco	35.766667	-5.800000	.	Using Tangier	Morocco	.	.	Africa;Atlantic coast of Africa;Northern Africa	.
Mozambique	-19.795776	34.882171	.	Using Beira	Mozambique	.	.	Africa;Indian coast of Africa;Southeastern Africa	.
Myanmar	16.132363	94.552243	.	.	Myanmar	Burma	.	Bay of Bengal	.
New Caledonia	-21.250000	165.300000	.	.	New Caledonia	.	.	Melanesia	.
New Guinea	-5.401399	140.965951	.	Middle of Island	New Guinea	.	.	Melanesia	.
New Zealand	-42.000000	174.000000	Kirk (1880) and Filhol (1885) describe new species of fiddler crabs from New Zeland, but there is no subsequent evidence of fiddler crabs there. More than likely, these specimens (which have been subsequently lost) were collected elsewhere or were stray individuals that washed up on New Zeland during storms without representing an established population.	.	New Zealand	.	.	Polynesia;Australasia	.
Nicaragua	13.009537	-85.088325	.	.	Nicaragua	.	.	Central America	.
Nigeria	4.712213	5.651727	.	Using Niger Delta	Nigeria	.	.	Africa;Atlantic coast of Africa;Gulf of Guinea	.
North America	37.000000	-100.000000	.	.	North America	.	.	.	.
Northern Africa	35.766667	-5.800000	.	Using Tangier	Northern Africa	.	Africa	.	.
Eastern Pacific Ocean	11.125208	-85.805854	.	Nicaragua/Costa Rica border	Eastern Pacific Ocean	Pacific coast of the Americas	Pacific Ocean	.	.
Pakistan	24.826332	66.995130	.	Using Karachi	Pakistan	.	.	Arabian Sea	.
Palau	7.500000	134.616667	.	.	Palau	Babelthaob	.	Caroline Islands, Micronesia	.
Palmyra Atoll	5.883333	-162.083333	.	.	Palmyra Atoll	.	.	Western Pacific Ocean;Line Islands	.
