									Carapace Width				
Reference(s)	Location	ID	Species	Sex	Notes	Use	Type	n	val/mean	min	max	sd	se
Abele1989	Miraflores Locks Spillway, Panama Canal, Panama	.	festae	male	.	.	individual	.	11.1	.	.	.	.
Abele1989	Miraflores Locks Spillway, Panama Canal, Panama	.	pygmaea	male	.	.	individual	.	6.9	.	.	.	.
Abele1989	Miraflores Locks Spillway, Panama Canal, Panama	.	umbratila	male	.	.	individual	.	9.2	.	.	.	.
Abele1989	Miraflores Locks Spillway, Panama Canal, Panama	.	oerstedi	male	.	.	range	3	.	7.1	9.8	.	.
Abele1989	Miraflores Locks Spillway, Panama Canal, Panama	.	oerstedi	female	.	.	range	5	.	7.9	9.6	.	.
Abele1989	Miraflores Locks Spillway, Panama Canal, Panama	.	tomentosa	male	.	.	range	5	.	5.9	7.9	.	.
Abele1989	Miraflores Locks Spillway, Panama Canal, Panama	.	tomentosa	female	.	.	range	3	.	7	10	.	.
CortesCarrasco2013	Southwest coast of Mexico	multiple	musica	male	.	.	range	16	.	8.1	10.5	.	.
CortesCarrasco2013	Southwest coast of Mexico	multiple	musica	female	.	.	range	4	.	6.9	8.2	.	.
CortesCarrasco2013	Southwest coast of Mexico	multiple	musica	male	juvenile	skip	range	4	.	4.4	8	.	.
Crane1975	.	.	acuta	female	.	.	individual	.	15	.	.	.	.
Crane1975	.	.	acuta	male	.	.	individual	.	16	.	.	.	.
Crane1975	.	.	acuta	male	.	.	individual	.	22	.	.	.	.
Crane1975	.	.	annulipes	male	.	.	individual	.	7	.	.	.	.
Crane1975	.	.	annulipes	female	.	.	individual	.	11	.	.	.	.
Crane1975	.	.	annulipes	female	.	.	individual	.	14	.	.	.	.
Crane1975	.	.	annulipes	female	.	.	individual	.	15	.	.	.	.
Crane1975	.	.	annulipes	male	.	.	individual	.	15.5	.	.	.	.
Crane1975	.	.	annulipes	male	.	.	individual	.	19	.	.	.	.
Crane1975	.	.	arcuata	female	.	.	individual	.	24.5	.	.	.	.
Crane1975	.	.	arcuata	female	.	.	individual	.	28	.	.	.	.
Crane1975	.	.	arcuata	male	.	.	individual	.	33	.	.	.	.
