species	#	caption
acuta	1	Photo from [[Shih2010.2,.out]], Figure 2.
acuta	2	Photo from [[Shih2010.2,.out]], Figure 2.
acuta	3	Photo from [[Shih2010.2,.out]], Figure 2.
acuta	4	Photo from [[Shih2010.2,.out]], Figure 2.
albimana	1	Photo from [[Naderloo2010,.out]], Figure 6.
albimana	2	Photo from [[Naderloo2010,.out]], Figure 6.
alcocki	1	Photo originally obtained from <a href="http://www.simaensis.org">siamensis.org</a>, labeled <em class="species">Uca urvillei.</em>
alcocki	2	Photo originally obtained from <a href="http://www.simaensis.org">siamensis.org</a>, labeled <em class="species">Uca urvillei.</em>
alcocki	3	Thailand. Photo by Rueangrit Promdam.
alcocki	4	Thailand. Photo by Rueangrit Promdam.
alcocki	5	Photo from [[Shih2018.1,.out]], Figure 6.
alcocki	6	Photo from [[Shih2018.1,.out]], Figure 6.
alcocki	7	Photo from [[Shih2018.1,.out]], Figure 6.
alcocki	8	Photo from [[Shih2018.1,.out]], Figure 6.
alcocki	9	Photo from [[Shih2018.1,.out]], Figure 6.
alcocki	10	Photo from [[Shih2018.1,.out]], Figure 6.
alcocki	11	Photo from [[Shih2018.1,.out]], Figure 6.
annulipes	1	Photo from [[Naderloo2016,.out]], Figure 6.
annulipes	16	Photo from [[Naderloo2010,.out]], Figure 12.
annulipes	17	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
arcuata	1	Photo from [[Shih2010.2,.out]], Figure 2.
arcuata	2	Photo from [[Shih2010.2,.out]], Figure 2.
arcuata	3	Photo by <a href="http://www.inaturalist.org/observations/2476705">Paul B., posted on iNaturalist</a>.
arcuata	4	Photo by <a href="http://www.inaturalist.org/observations/1127680">Zack, posted on iNaturalist</a>.
arcuata	5	Photo by <a href="http://www.inaturalist.org/observations/1027459">sunnetchan, posted on iNaturalist</a>.
arcuata	6	Photo by <a href="http://www.inaturalist.org/observations/633522">sunnetchan, posted on iNaturalist</a>.
arcuata	7	This photo was originally obtained from a webpage which no longer appears to exist.
arcuata	8	This photo was originally obtained from a webpage which no longer appears to exist.
arcuata	9	This photo was originally obtained from a webpage which no longer appears to exist.
arcuata	10	This photo was originally obtained from a webpage which no longer appears to exist.
arcuata	14	Photo originally obtained from a <a href="http://content.edu.tw/senior/geo/ks_ks/main/local/tapen/ocean2.htm">website in Taiwan</a>.
arcuata	15	This photo was originally obtained from a webpage which no longer appears to exist.
arcuata	17	Photo originally obtained from <a href="http://www.wetland.org.tw/english/index.htm">Wetlands Taiwan</a>.
arcuata	18	Photo originally obtained from <a href="http://www.wetland.org.tw/english/index.htm">Wetlands Taiwan</a>.
arcuata	19	This photo was originally obtained from a webpage which no longer appears to exist.
argillicola	1	Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama.
batuenta	1	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
batuenta	2	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
batuenta	3	Photo provided by Pat Backwell, Panama.
batuenta	4	Photo provided by Pat Backwell, Panama.
batuenta	5	Photo provided by Pat Backwell, Panama.
batuenta	6	Photo provided by Pat Backwell, Panama.
batuenta	7	Photo provided by Pat Backwell, Panama.
batuenta	8	Photo provided by Pat Backwell, Panama.
beebei	1	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
beebei	2	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
beebei	3	Photo by J. Christy, Panama.
beebei	4	Photo provided by Pat Backwell, Panama.
beebei	5	Photo provided by Pat Backwell, Panama.
beebei	6	Photo provided by Pat Backwell, Panama.
beebei	7	Photo provided by Pat Backwell, Panama.
bellator	1	Photo from [[Shih2016.2,.out]], Figure 10.
bengali	1	Photo from [[Shih2016.2,.out]], Figure 8.
bengali	2	Photo from [[Shih2019,.out]], Figure 3.
bengali	3	Photo from [[Shih2019,.out]], Figure 5. Outer and inner surfaces of major palm.
bengali	4	Photo from [[Shih2019,.out]], Figure 6. Lateral view of the right gonopod.
bengali	5	Photo from [[Shih2019,.out]], Figure 6. Lateral view of distal end of the right gonopod.
bengali	6	Photo from [[Shih2019,.out]], Figure 10.
bengali	7	Photo from [[Shih2019,.out]], Figure 10.
bengali	8	Photo from [[Shih2019,.out]], Figure 10.
bengali	9	Photo from [[Shih2019,.out]], Figure 10.
bengali	10	Photo from [[Shih2019,.out]], Figure 10.
bengali	11	Photo from [[Shih2019,.out]], Figure 10.
bengali	12	Photo from [[Shih2019,.out]], Figure 10.
boninensis	1	Photo from [[Shih2013.2,.out]], Figure 2.
boninensis	2	Photo from [[Shih2013.2,.out]], Figure 3.
boninensis	3	Photo from [[Shih2013.2,.out]], Figure 3.
boninensis	4	Photo from [[Shih2013.2,.out]], Figure 6.
boninensis	5	Photo from [[Shih2013.2,.out]], Figure 6.
boninensis	6	Photo from [[Shih2013.2,.out]], Figure 6.
boninensis	7	Photo from [[Shih2013.2,.out]], Figure 7.
boninensis	8	Photo from [[Shih2013.2,.out]], Figure 7.
boninensis	9	Photo from [[Shih2013.2,.out]], Figure 7.
borealis	1	Photo from [[Shih2010.1,.out]], Figure 5.
borealis	2	Photo from [[Shih2010.1,.out]], Figure 5.
borealis	3	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
borealis	4	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
borealis	5	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
borealis	6	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
borealis	7	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
borealis	9	This photo was originally obtained from a webpage which no longer appears to exist.
borealis	10	Photo originally obtained from a <a href="http://content.edu.tw/senior/geo/ks_ks/main/local/tapen/ocean2.htm">website in Taiwan</a>.
borealis	11	Photo originally obtained from <a href="http://www.wetland.org.tw/english/index.htm">Wetlands Taiwan</a>.
borealis	12	Photo originally obtained from <a href="http://www.wetland.org.tw/english/index.htm">Wetlands Taiwan</a>.
borealis	13	This photo was originally obtained from a webpage which no longer appears to exist.
brevifrons	1	Photo from [[Shih2016.2,.out]], Figure 9.
burgersi	1	This photo was originally obtained from a webpage which no longer appears to exist.
burgersi	2	This photo was originally obtained from a webpage which no longer appears to exist.
burgersi	3	This photo was originally obtained from a webpage which no longer appears to exist.
burgersi	4	On St. Johns, US Virgin Islands. Photo originally obtained from a webpage which no longer appears to exist.
burgersi	5	Photo by Chris Lukhaup, NW Florida. I think this is {{burgersi}}.
burgersi	6	Photo from [[Thurman2013.1,.out]], Figure 2.
capricornis	1	Photo from [[George1982,.out]]. It was labeled as <em class="species">U. pavo</em>.
capricornis	2	Photo from [[George1982,.out]]. It was labeled as <em class="species">U. pavo</em>.
capricornis	3	Photo provided by Pat Backwell, Australia.
capricornis	4	Photo provided by Pat Backwell, Australia.
capricornis	5	Photo provided by Pat Backwell, Australia.
capricornis	6	Photo provided by Pat Backwell, Australia.
capricornis	7	Photo provided by Pat Backwell, Australia.
capricornis	8	Photo provided by Pat Backwell, Australia.
capricornis	9	Photo provided by Pat Backwell, Australia.
capricornis	10	Photo provided by Pat Backwell, Australia.
capricornis	11	Photo provided by Pat Backwell, Australia.
capricornis	12	Photo provided by Pat Backwell, Australia.
capricornis	13	Photo provided by Pat Backwell, Australia.
capricornis	14	Photo provided by Pat Backwell, Australia.
capricornis	15	Photo provided by Pat Backwell, Australia.
capricornis	16	Photo provided by Pat Backwell, Australia.
capricornis	17	Photo provided by Pat Backwell, Australia.
capricornis	18	Photo provided by Pat Backwell, Australia.
capricornis	19	Photo provided by Pat Backwell, Australia.
capricornis	20	Photo provided by Pat Backwell, Australia.
capricornis	21	Photo provided by Pat Backwell, Australia.
capricornis	22	Photo provided by Pat Backwell, Australia.
capricornis	23	Photo provided by Pat Backwell, Australia.
capricornis	24	Photo provided by Pat Backwell, Australia.
capricornis	25	Photo provided by Pat Backwell, Australia.
capricornis	26	Photo provided by Pat Backwell, Australia.
chlorophthalmus	1	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
chlorophthalmus	2	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
chlorophthalmus	3	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
chlorophthalmus	4	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
chlorophthalmus	5	Photo from [[Shih2013.2,.out]], Figure 7.
chlorophthalmus	6	Photo from [[Shih2013.2,.out]], Figure 7.
chlorophthalmus	7	Photo from [[Shih2016.2,.out]], Figure 10.
citrus	1	Fiji. Photo by <a href="http://www.ryanphotographic.com/">Paddy Ryan</a>.
citrus	2	Photo originally obtained from the <a href="http://decapoda.free.fr/index.php">Database of Crustacea from French Polynesia</a>.
citrus	3	Photo originally obtained from the <a href="http://decapoda.free.fr/index.php">Database of Crustacea from French Polynesia</a>.
coarctata	1	Photo from [[George1982,.out]].
coarctata	2	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
coarctata	3	Photo originally obtained from <a href="http://www.wetland.org.tw/english/index.htm">Wetlands Taiwan</a>.
coarctata	4	Photo by <a href="http://www.inaturalist.org/observations/1401208">Lek Khauv, posted on iNaturalist</a>.
coarctata	5	Photo by <a href="http://www.inaturalist.org/observations/1239984">Kenneth Bader, posted on iNaturalist</a>.
coarctata	6	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
coarctata	7	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
coarctata	8	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
coarctata	9	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
coarctata	10	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
coarctata	11	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
coarctata	12	Photo from [[Shih2016.2,.out]], Figure 11.
crassipes	1	Photo from [[Shih2012,.out]], Figure 5.
crassipes	2	Photo from [[Shih2012,.out]], Figure 5.
crassipes	3	Photo from [[Shih2012,.out]], Figure 5.
crassipes	4	Photo from [[Shih2012,.out]], Figure 5.
crassipes	5	Photo from [[Shih2012,.out]], Figure 5.
crassipes	6	Photo from [[Shih2012,.out]], Figure 5.
crassipes	7	Photo from [[Barnes2010,.out]], Figure 1.
crassipes	8	This photo was originally obtained from a webpage which no longer appears to exist.
crassipes	9	Photo originally obtained from the <a href="http://decapoda.free.fr/index.php">Database of Crustacea from French Polynesia</a>.
crassipes	10	Photo originally obtained from the <a href="http://decapoda.free.fr/index.php">Database of Crustacea from French Polynesia</a>.
crassipes	11	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	12	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	13	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	14	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	15	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	16	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	17	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	18	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	19	Photo by Chris Lukhaup.
crassipes	20	Photo by Chris Lukhaup.
crassipes	21	American Samoa. Photo by Francesca Riolo.
crassipes	22	American Samoa. Photo by Francesca Riolo.
crassipes	23	Sulawesi, Indonesia. Photo by <a href="http://www.ryanphotographic.com/">Paddy Ryan</a>.
crassipes	24	This photo was originally obtained from a webpage which no longer appears to exist.
crassipes	25	Photo originally obtained from <a href="http://www.wetland.org.tw/english/index.htm">Wetlands Taiwan</a>.
crassipes	26	Photo originally obtained from <a href="http://www.wetland.org.tw/english/index.htm">Wetlands Taiwan</a>.
crassipes	27	Photo originally obtained from the <a href="http://decapoda.free.fr/index.php">Database of Crustacea from French Polynesia</a>.
crassipes	28	Photo originally obtained from the <a href="http://decapoda.free.fr/index.php">Database of Crustacea from French Polynesia</a>.
crassipes	29	Photo originally obtained from the <a href="http://decapoda.free.fr/index.php">Database of Crustacea from French Polynesia</a>.
crassipes	30	Photo from [[Shih2013.2,.out]], Figure 7.
crassipes	31	Photo from [[Shih2013.2,.out]], Figure 7.
crassipes	32	Photo from [[Shih2013.2,.out]], Figure 7.
crenulata	1	Gulf coast of southern Baja California, Mexico. Photo by Steve Dunbar. I believe this is {{crenulata}}.
crenulata	2	Gulf coast of southern Baja California, Mexico. Photo by Steve Dunbar. I believe this is {{crenulata}}.
crenulata	3	Gulf coast of southern Baja California, Mexico. Photo by Steve Dunbar. I believe this is {{crenulata}}.
crenulata	4	Photo by <a href="http://www.inaturalist.org/observations/224379">BJ Stacey, posted on iNaturalist</a>.
crenulata	5	Photo by <a href="http://www.inaturalist.org/observations/448768">BJ Stacey, posted on iNaturalist</a>.
crenulata	6	Photo by <a href="http://www.inaturalist.org/observations/1632294">Jay Keller, posted on iNaturalist</a>.
crenulata	7	Photo by <a href="http://www.inaturalist.org/observations/2691268">BJ Stacey, posted on iNaturalist</a>.
cryptica	1	Adult male. Photo from [[Michie2015,.out]], Figure 4.
cryptica	2	Adult male. Photo from [[Michie2015,.out]], Figure 4.
cryptica	3	Adult male. Photo from [[Michie2015,.out]], Figure 4.
cryptica	4	Adult male. Photo from [[Michie2015,.out]], Figure 4.
cryptica	5	Adult female. Photo from [[Michie2015,.out]], Figure 4.
cryptica	6	Adult female. Photo from [[Michie2015,.out]], Figure 4.
cryptica	7	Outer view of male chela (likely a regenerated form). Photo from [[Michie2015,.out]], Figure 3.
cryptica	8	Outer view of male chela (likely a non-regenerated form). Photo from [[Michie2015,.out]], Figure 3.
cryptica	9	CLSM image of mesial surface of apical tip of male gonopod. Photo from [[Michie2015,.out]], Figure 2.
cryptica	10	CLSM image of lateral surface of apical tip of male gonopod. Photo from [[Michie2015,.out]], Figure 2.
cumulanta	1	Photo from [[Thurman2013.1,.out]], Figure 2.
dampieri	1	Photo from [[George1982,.out]].
dampieri	2	Photo from [[Shih2016.2,.out]], Figure 7.
deichmanni	1	Photo by M.S. Rosenberg, fall 1997, Naos, Panama City, Panama.
deichmanni	2	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
deichmanni	3	Gravid female. Photo by M.S. Rosenberg, fall 1997, Naos, Panama City, Panama.
demani	1	Photo from [[Barnes2010,.out]], Figure 1.
demani	2	Photo from [[Shih2010.2,.out]], Figure 4.
demani	3	Photo from [[Shih2010.2,.out]], Figure 4.
demani	4	Photo from [[Shih2010.2,.out]], Figure 4.
dussumieri	2	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
dussumieri	3	This photo was originally obtained from a webpage which no longer appears to exist.
dussumieri	4	This photo was originally obtained from a webpage which no longer appears to exist.
dussumieri	5	Photo originally obtained from <a href="http://www.wetland.org.tw/english/index.htm">Wetlands Taiwan</a>.
dussumieri	6	Sulawesi, Indonesia. Photo by <a href="http://www.ryanphotographic.com/">Paddy Ryan</a>.
dussumieri	7	Photo from [[Barnes2010,.out]], Figure 1.
dussumieri	8	Photo from [[Ng2008,.out]], Figure 188.
dussumieri	9	Photo by <a href="http://www.inaturalist.org/observations/34595">tengumaster89, posted on iNaturalist</a>.
dussumieri	10	Photo by <a href="http://www.inaturalist.org/observations/34623">tengumaster89, posted on iNaturalist</a>.
dussumieri	11	Photo by <a href="http://www.inaturalist.org/observations/34623">tengumaster89, posted on iNaturalist</a>.
dussumieri	12	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
dussumieri	13	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
dussumieri	14	Photo from [[Shih2016.2,.out]], Figure 11.
ecuadoriensis	1	Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama.
ecuadoriensis	2	Photo by Chris Lukhaup. Ecuador. Most likely {{ecuadoriensis}}.
