province	lower left lat	lower left lon	upper right lat	upper right lon
West Africa	-12.4	-4.5	14.4	16.3
West Africa	-0.7	-18.7	24.6	19
West Africa	27.4	-13.2	36	-5.8
West Africa	35.8	-9.8	37.8	-5.6
West Africa	20.8	-20.6	27.6	-12.6
West Africa	27.57	-16.05	28.45	-15.19
West Africa	13.67	-26.33	18.28	-21.32


Atlantic Coast of the USA	30.2	-81.75	42.95	-69.3


Gulf of Mexico	25.79	-98.26	31.25	-84.51
Gulf of Mexico	21.24	-98.6	29.22	-95.71
Gulf of Mexico	17.8	-98.4	22.6	-94.1


Florida_Yucatan Transition Zone	19	-91.5	21.8	-87.9
Florida_Yucatan Transition Zone	21.6	-85	23.2	-83.4
Florida_Yucatan Transition Zone	22.1	-83.5	23.4	-82.4
Florida_Yucatan Transition Zone	24.2	-84.4	30.2	-79.9
Florida_Yucatan Transition Zone	17.8	-94.1	19.9	-90.7
Florida_Yucatan Transition Zone	21.3	-88.5	22	-87


Tropical Western Atlantic	-24	-60	12	-33.5
Tropical Western Atlantic	4	-75.5	21.3	-58
Tropical Western Atlantic	14.3	-89.4	21.3	-75
Tropical Western Atlantic	10.1	-84.3	23.9	-75
Tropical Western Atlantic	8.7	-83.1	13	-80
Tropical Western Atlantic	9.2	-80.1	10.2	-77.2
Tropical Western Atlantic	7.4	-77.4	15.1	-70
Tropical Western Atlantic	8.3	-78	9.9	-76.5
Tropical Western Atlantic	20.3	-79.2	28.4	-70.4


Southeastern Brazil	-28.6	-51	-24	-46.2


Uruguay_Argentina	-39.1	-64.55	-28.6	-48.7


Pacific Mexico	19.1	-110.7	34.4	-104.2
Pacific Mexico	20.6	-114.1	34.4	-104.2
Pacific Mexico	26.4	-117.6	34.4	-104.2
Pacific Mexico	33.2	-118.7	34.4	-104.2
Pacific Mexico	33.8	-119.3	34.7	-118.1
Pacific Mexico	34.2	-119.8	36	-118
Pacific Mexico	22.5	-113.8	34.4	-104.2
Pacific Mexico	29.8	-115.6	32.4	-112.5
Pacific Mexico	26	-115.3	28	-113.3
Pacific Mexico	14.6	-106	18	-92.3
Pacific Mexico	15.7	-104.7	20.4	-99
Pacific Mexico	29.3	-114.8	31.3	-112


Tropical Eastern Pacific	9.2	-90.1	13.7	-84
Tropical Eastern Pacific	7.9	-84.9	9.4	-82.9
Tropical Eastern Pacific	7.1	-83	8.7	-77.7
Tropical Eastern Pacific	7.6	-80.1	9.1	-78.1
Tropical Eastern Pacific	-5.9	-81.5	7.4	-74.8


Peru_Chile	-33.1	-72.6	-17.9	-69.4
Peru_Chile	-18.6	-81.5	-5.9	-69.4


Galapagos Islands	-1.6	-92	1.1	-88.7


East Africa	-35	23	-16.5	39.1
East Africa	-17.3	37.6	-1.7	41.6
East Africa	-1.7	41.5	-0.2	42.8
East Africa	-26.3	42.1	-18.4	51.6
East Africa	-14.7	46.7	-11.6	50.9
East Africa	-18.5	43.7	-14.6	51.6
East Africa	-22.5	53.5	-18.8	65
East Africa	-14.3	41.7	-7.8	49.2
East Africa	-7.2	52	-1.9	58.6
East Africa	-1.8	40.9	2	45.4


Red Sea	12.6	30.3	30.5	45.8
Red Sea	10	41	16.5	50.5
Red Sea	11.8	50.4	23.5	60.8
