(1983)	anonymous1983	Chinese
Abbott (1913)	Abbott1913	English
Abbott & Dawson (1966)	Abbott1966	English
Abby-Kalio (1982)	AbbyKalio1982	English
Abdullah & Lee (2016)	Abdullah2016	
Abele (1970)	Abele1970	English
Abele (1972)	Abele1972	English
Abele & Felgenhauer (1982)	Abele1982	
Abele & Kim (1986)	Abele1986	English
Abele & Kim (1989)	Abele1989	
Abramowitz (1936)	Abramowitz1936.1	English
Abramowitz (1937)	Abramowitz1937	English
Abramowitz (1937)	Abramowitz1937.2	English
Abramowitz (1938)	Abramowitz1938.2	English
Abramowitz (1940)	Abramowitz1940.2	English
Abramowitz & Abramowitz (1938)	Abramowitz1938	English
Abramowitz et al. (1944)	Abramowitz1944	English
Abramowitz & Abramowitz (1940)	Abramowitz1940	English
Abramson & Feinman (1986)	Abramson1986	
Abreu (1975)	Abreu1975	English
Abrunhosa et al. (2011)	Abrunhosa2011	English [with Portuguese abstract/summary]
Ache (1982)	Ache1982	English
Adamowicz & Purvis (2006)	Adamowicz2006	English
Adams & White (1848)	Adams1848	English
Adirwiryono et al. (1984)	Adirwiryono1984	English
Adiyodi (1985)	Adiyodi1985	English
Adiyodi (1988)	Adiyodi1988	English
Agassiz (?)	Agassiz_nd	French
Ahmed (1976)	Ahmed1976.1	English
Ahmed (1978)	Ahmed1978.1	English [with German abstract/summary]
Ahmed & Kahn (1976)	Ahmed1976.2	English
Ahmed & Khan (1978)	Ahmed1978.2	English
Aicher (1987)	Aicher1987	German
Aicher et al. (1983)	Aicher1983	
Aicher & Tautz (1984)	Aicher1984	
Aicher & Tautz (1990)	Aicher1990	
Aikawa (1937)	Aikawa1937	English
Aikawa (1942)	Aikawa1942	English
Aiyun & Yuzhi (1986)	Aiyun1986	Chinese and English
Aizawa (2000)	Aizawa2000	English
Ajmal Khan & Ravichandran (2009)	AjmalKhan2009	English
Akash & Chowdhury (2017)	Akash2017	English
Al-Aidaroos (2013)	AlAidaroos2013	English
Albrecht & von Hagen (1981)	Albrecht1981	
Alcock (1892)	Alcock1892	English
Alcock (1900)	Alcock1900	English
Alcock (1902)	Alcock1902	English
Alcock & Anderson (1894)	Alcock1894	English
Alcock (1997)	Alcock1997	English
Al-Ghais & Cooper (1996)	AlGhais1996	English
Ali & Ripley (1969)	Ali1969	
Alkaladi et al. (2013)	Alkaladi2013	English
Alkaladi & Zeil (2014)	Alkaladi2014	English
Alleman & Guillen (2017)	Alleman2017	English
