species	genus	subgenus	type	typeref	common	common(s)	range	rangecites	realm	status	NCBITaxonID	EOLID	iNaturalist	GBIF
acuta	Tubuca	Angustuca	Gelasimus acutus	Stimpson1858	Acute Fiddler Crab	English|Acute Fiddler Crab;Japanese|クレーンシオマネキ	northern Vietnam to China	Crane1975;Bairagi1988;Jones1994;Shih2010.2;Tue2012;Shih2016.2	Indo-West Pacific Realm	extant	.	3118991	555965	4382548
albimana	Austruca	Austruca	Gelasimus annulipes var. albimana	Kossmann1877	White-handed Fiddler Crab	English|White-handed Fiddler Crab	northern Somalia to eastern United Arab Emirates, including Socotra, Gulf of Aden, Red Sea, southern Gulf of Oman, and southeastern Persian Gulf	Shih2009;Naderloo2010;Naderloo2012;Naderloo2015;ElSayed2016	Indo-West Pacific Realm	extant	578098	2981565	555966	4382531
alcocki	Tubuca	Tubuca	Tubuca alcocki	Shih2018.1	Alcock's Fiddler Crab	English|Alcock's Fiddler Crab	southeastern Red Sea; eastern Pakistan to Bangladesh; western Thailand; (likely) Andaman and Nicobar Islands	Shih2018.1	Indo-West Pacific Realm	extant	.	.	739661	.
annulipes	Austruca	Austruca	Gelasimus annulipes	MilneEdwards1837.2	Ring-legged Fiddler Crab	English|Ring-legged Fiddler Crab;Japanese|インドシオマネキ	western India to southern China, Indonesia and the Philippines	Naderloo2016	Indo-West Pacific Realm	extant	196277	2981567	555953	4382553
antiqua	Uca	Acanthoplax	Uca maracoani antiqua	Brito1972	#	#	Northern Brazil	Brito1972	Miocene	fossil	.	42294056	.	.
arcuata	Tubuca	Tubuca	Gelasimus arcuatus	deHaan1835	Bowed Fiddler Crab	English|Bowed Fiddler Crab;Japanese|シオマネキ;Chinese|網紋招潮蟹;Chinese|弧边招潮蟹;English|Japanese Fiddler Crab	Vietnam, China, Taiwan, Korea, Japan	Crane1975;Hosoya1993;Jones1994;Shih2016;Shih2010.2	Indo-West Pacific Realm	extant	626341	4268359	555975	5863496
argillicola	Minuca	.	Uca argillicola	Crane1941	Clay Fiddler Crab	English|Clay Fiddler Crab	Costa Rica to Colombia	Crane1975;vonPrahl1982	Eastern Pacific Realm	extant	659858	3118970	556001	4382558
batuenta	Leptuca	.	Uca batuenta	Crane1941	Beating Fiddler Crab	English|Beating Fiddler Crab	El Salvador to northern Peru	Crane1975	Eastern Pacific Realm	extant	.	3118942	556003	4382494
beebei	Leptuca	.	Uca beebei	Crane1941	Beebe's Fiddler Crab	English|Beebe's Fiddler Crab	El Salvador to northern Peru	Crane1975	Eastern Pacific Realm	extant	53291	3118943	556004	4382586
bellator	Tubuca	Australuca	Gelasimus bellator	White1847.2	Belligerent Fiddler Crab	English|Belligerent Fiddler Crab	Philippines, Borneo, northern Java	Crane1975	Indo-West Pacific Realm	extant	.	3118930	739128	4382591
bengali	Austruca	Cuneatuca	Uca triangularis bengali	Crane1975	Bengal Fiddler Crab	English|Bengal Fiddler Crab	southern Myanmar through western Thailand	Shih2019	Indo-West Pacific Realm	extant	1316773	3118985	905594	4382542
boninensis	Paraleptuca	.	Uca boninensis	Shih2013.2	Bonin Islands Fiddler Crab	English|Bonin Islands Fiddler Crab;Japanese|オガサワラベニシオマネキ [Ogasawara-beni-shiomaneki]	Ogasawara Islands (Japan)	Shih2013.2	Indo-West Pacific Realm	extant	.	.	739130	.
borealis	Gelasimus	Gelasimus	Uca vocans borealis	Crane1975	Northern Calling Fiddler Crab	English|Northern Calling Fiddler Crab;Japanese|ホンコンシオマネキ;Chinese|北方呼喚招潮蟹;Chinese|凹指招潮蟹	Vietnam, China, Taiwan, and Japan	Crane1975;Jones1994;Shih2010.1;Shih2010.2;Shih2016	Indo-West Pacific Realm	extant	626958	3118937	739131	4382581
brevifrons	Minuca	.	Gelasimus brevifrons	Stimpson1860	Narrow-fronted Fiddler Crab	English|Narrow-fronted Fiddler Crab	Mexico to northern Colombia	Crane1975;Brusca1980	Eastern Pacific Realm	extant	659859	3118971	739132	4382541
burgersi	Minuca	.	Uca burgersi	Holthuis1967	Burger's Fiddler Crab	English|Burger's Fiddler Crab;English|Saltpan Fiddler Crab	southern Mexico to Brazil; USA (southern Florida); throughout Caribbean islands	Crane1975;Powers1977;Barnwell1984.1;Abele1986;Barnwell1986.1;Thurman1987.1;Thurmsan2010;Thurman2013.1	Western Atlantic Realm	extant	659860	343854	739133	2221541
capricornis	Tubuca	Tubuca	Uca dussumieri capricornis	Crane1975	Capricorn Fiddler Crab	English|Capricorn Fiddler Crab	northern and western Australia	George1982;vonHagen1989	Indo-West Pacific Realm	extant	.	3118994	739134	4382495
chlorophthalmus	Paraleptuca	.	Gelasimus chlorophthalmus	MilneEdwards1837.2	Green-eyed Fiddler Crab	English|Green-eyed Fiddler Crab	southern Somalia to South Africa; Madagascar; Mauritius; Réunion	Crane1975;Icely1978;Poupin2010.1	Indo-West Pacific Realm	extant	53283	2981563	739135	4382563
citrus	Austruca	Austruca	Austruca citrus	Shih2020.2	Lemon Fiddler Crab	English|Lemon Fiddler Crab	central Pacific: Fiji, Tonga, Samoa, Wallis &amp; Futuna	Shih2020.2	Indo-West Pacific Realm	extant	.	.	1108897	.
