species	lower left lat	lower left lon	upper right lat	upper right lon
acuta	26.3	118.5	35.7	122.9
acuta	24.6	117.9	26.3	120.3
acuta	18	105.2	25	119
acuta	10.4	105.8	18	110.5
				
albimana	12.6	30.3	30.5	45.8
albimana	10	41	16.5	50.5
albimana	11.8	50.4	23.5	60.8
albimana	23.5	52.4	24.8	59
albimana	23.5	55.4	26.5	56.8
albimana	24.6	54.4	25.6	55.9
				
alcocki	13.3	66.9	24.9	77.3
alcocki	7.6	74.3	13.3	77.3
alcocki	10.2	78.7	16.1	81.1
alcocki	21.5	87.5	22.7	91.2
alcocki	6.3	90.7	14.1	94.6
alcocki	7.3	97.8	9	99.5
alcocki	16.4	42.3	17.6	43
				
annulipes	11.9	66.9	26.6	75.6
annulipes	5.5	75.4	26.6	98.4
annulipes	-9.2	87.6	8.4	119.1
annulipes	17.7	105	20.2	111.3
annulipes	-3	97	17.7	110.5
annulipes	-3.8	112.4	14.7	129.2
annulipes	-6.4	116.3	5.7	129.4
annulipes	6.4	133.1	8.8	135.9
				
arcuata	30.2	128	34.67	136.97
arcuata	30.56	116.73	37.83	130.17
arcuata	20.17	105.52	35.64	123.35
arcuata	18.06	108.4	20.35	111.32
				
argillicola	9.5	-85.1	10.6	-84
argillicola	8	-85	9.5	-82.8
argillicola	7.65	-82.8	8.6	-81.4
argillicola	7.2	-81.4	8.5	-77.6
argillicola	8.5	-79.9	9.1	-78
argillicola	3.75	-79.3	7.7	-76.7
argillicola	9.9	-85.4	10.3	-84.6
				
boninensis	26.9	141.9	27.3	142.3
				
chlorophthalmus	-33.7	26.4	-11	59.3
chlorophthalmus	-11	36.2	-1.7	43
				
elegans	-26.7	111.4	-13	126.9
elegans	-15.7	126.9	-10.2	137.4
				
iranica	28.55	47.5	30.88	52.1
iranica	26.4	50.9	30.4	56
iranica	25.5	55.44	27.8	60
iranica	25	56.2	26.45	56.9
iranica	23.54	58.8	28	68.9
				
minax	29	-81.75	41.95	-69.3
minax	27.24	-95	31.3	-82.11
minax	27.69	-97.9	31	-90
				
osa	8.4	-83.34	8.63	-83.18
osa	8.47	-83.49	8.8	-83.21
				
pugilator	29	-81.75	41.95	-69.3
pugilator	24.47	-87.51	31.8	-79.63
pugilator	24.86	-77.6	25.31	-77.06
				
pugnax	29	-81.75	42.95	-69.3
				
tangeri	-12.4	-4.5	14.4	16.3
tangeri	-0.7	-18.7	24.6	19
tangeri	27.4	-13.2	36	-5.8
tangeri	35.8	-9.8	37.8	-5.6
tangeri	20.8	-20.6	27.6	-12.6
tangeri	27.57	-16.05	28.45	-15.19
tangeri	13.67	-26.33	18.28	-21.32
				
uruguayensis	-38.1	-64.55	-22.52	-42.93
				
virens	25.79	-98.26	31.25	-84.51
virens	21.24	-98.6	29.22	-95.71
				
excisa	-22.21	175.2	-12.4	-172.2
excisa	-15.13	-173.46	-12.82	-170.2
excisa	-8.7	178.9	-8.3	180
