name	variations	primary synonym	original binomial	priority source	meaning	notes
acuta	acuta;acuto;acutus	acuta	Gelasimus acutus	Stimpson1858	Named after the extremely acute angles of the carapace at the tip of the antero-lateral margins.	.
affinis	affinis	tetragonon	Gelasimus affinis	GuerinMeneville1829.1	.	<em class="species">Gelasimus affinis</em> was originally used by Guérin-Méneville for a species which he later realized was already described as <em class="species">Uca tetragonon</em> (Herbst, 1790), making <em class="species">affinis</em> a junion synonym.</p><p>The name was later independently used by Streets (1872) to describe a species from the Caribbean. Since the name was preoccupied by Guérin-Méneville's original use, it was unavailable to Streets, and this second species is now known as <em class="species">Uca burgersi</em> Holthuis, 1967.
africana	africana	?	Uca africana	White1847.1	Named after Africa, where the specimen was found.	A <em>nomen nodum.</em> The name only appears in a published list from a museum collection with no description; specimen can no longer be found, so identity cannot be determined. Nomenclatural usage from that time would imply the name was most likely applied to a specimen which would now be part of the genus <em class="species">Ucides.</em>
albimana	albimana;albimaba;albimanus	albimana	Gelasimus annulipes var. albimana	Kossmann1877	Latin for &ldquo;white-handed.&rdquo;	.
amazonensis	amazonensis	chlorophthalmus	Uca amazonensis	Doflein1899	Named after the Amazon, where the specimens were supposedly collected, although evidence suggests a labeling error since the species is actually only found in the western part of the Pacific Ocean and the Indian Ocean and not not in the Americas.	<em class="species">Uca amazonensis</em> Doflein, 1899, is a junior synonym of <em class="species">Uca chlorophthalmus</em> (H. Milne Edwards, 1837).
angustifrons	angustifrons	bellator	Gelasimus signatus var. angustifrons	deMan1891	Latin for &ldquo;narrow-brow&rdquo; or &ldquo;narrow-forehead&rdquo;	<em class="species">Gelasimus signatus var. angustifrons</em> De Man, 1891, is a junior synonym of <em class="species">Uca bellator</em> (Adams &amp; White, 1848)
annulipes	annulipes;annulari;annulipedi;annulepis	annulipes	Gelasimus annulipes	MilneEdwards1837.2	Latin for &ldquo;ring-legged.&rdquo;	.
antiqua	antiqua;antique	antiqua	Uca maracoani antiqua	Brito1972	Comes from the same root as &ldquo;antique&rdquo; meaning ancient.	.
arcuata	arcuata;arcuatus	arcuata	Ocypode (Gelasimus) arcuata	deHaan1835	.	.
argillicola	argillicola	argillicola	Uca argillicola	Crane1941	Named for the white clay where the species was found.	.
armatus	armatus	insignis	Gelasimus armatus	Smith1870.2	Latin for &ldquo;armored.&rdquo;	<em class="species">Gelasimus armatus</em> Smith, 1870, is a junior synonym of <em class="species">Uca insignis</em> (H. Milne Edwards, 1852)
atlanticus	atlanticus	tangeri	Gelasimus atlanticus	Baudouin1906	Named for the Atlantic Ocean.	Baudouin (1906) suggested that the name <em class="species">tangeri</em> was too narrow because it implied the species was only found in a limited location, and that perhaps a more general name such as <em class="species">atlanticus</em> would be better. One can argue whether this is a formal proposal for a name or not, but Monod (1956) specifically treated it as a proposed name, thus <em class="species">Gelasimus atlanticus</em> Baudouin, 1906, is a junior synonym of <em class="species">Uca tangeri</em> (Eydoux, 1835).
australiae	australiae	demani	Uca (Deltuca) demani australia	Crane1975	Named for its southern distribution (Latin noun &ldquo;auster&rdquo; = the south)	The status of this species is highly questionable. It is only known from a single, poor-quality specimen found washed up on the shore of Australia. It is generally believed to not be valid.
barbimana	barbimana	>Utica barbimana	Uca barbimana	Schafer1954	.	This name appears in a list of species, but is more than likely an error/typo in the genus by the author and should refer to <em class="species">Utica barbimana.</em>
basipes	basipes	?	Gelasimus basipes	.	.	An unpublished manuscript name, known only from a bottle in the Paris museum containing a mix of narrow-fronted species. Mentioned in Crane (1975).
