Species	Front breadth	Carapace color uniformity	Carapace color	H-groove color	Joint color	Shear-shaped claw	Style on major eye	Eyestalk color	Claw symmetry	Claw color uniformity	Claw color (uniform)	Major pollex pitting	Major dactyl color	Major pollex color	Major claw base color	Major claw base tubercles	Walking leg color	Tip of dactyl shape	Anterolateral angle shape	Anterolateral angle direction	Claw Speckles	Orbit Shape	Lateral margins of carapace angle	Dorsolateral margin of carapace length	Grooves on outer surface of major cheliped fingers
♀ Female {{acuta}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{albimana}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.1	25.?	26.?
♀ Female {{alcocki}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{annulipes}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{arcuata}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{argillicola}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{batuenta}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{beebei}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{bellator}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{bengali}}	1.2	2.3	3.12	4.1	5.2	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.5	19.-	20.2	21.2	22.-	23.2	24.?	25.?	26.?
♀ Female {{boninensis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{borealis}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{brevifrons}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{burgersi}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{capricornis}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{citrus}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.1	21.2	22.-	23.?	24.?	25.1	26.1
♀ Female {{chlorophthalmus}}	1.2	2.2	3.9	4.1	5.2	6.-	7.-	8.5	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{coarctata}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{coloradensis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{crassipes}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{crenulata}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{cryptica}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{cumulanta}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{dampieri}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{deichmanni}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{demani}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{dorotheae}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{dussumieri}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{ecuadoriensis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{elegans}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{excisa}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{festae}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{flammula}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{forcipata}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{formosensis}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{galapagensis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{helleri}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{herradurensis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{hesperiae}}	1.1	2.?	3.?	4.?	5.2	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{heteropleura}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{hirsutimanus}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{inaequalis}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{insignis}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{intermedia}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{inversa}}	1.2	2.2	3.?	4.?	5.2	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{iranica}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.2	25.?	26.?
♀ Female {{jocelynae}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{lactea}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{latimanus}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{leptodactyla}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{limicola}}	1.2	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
♀ Female {{longidigitum}}	1.1	2.?	3.?	4.?	5.?	6.-	7.-	8.?	9.2	11.-	12.-	13.-	14.-	15.-	16.-	17.-	18.?	19.-	20.?	21.?	22.-	23.?	24.?	25.?	26.?
