species	#	caption
acuta	1	"Photo from Shih <em>et al.</em> (2010), Figure 2."
acuta	2	"Photo from Shih <em>et al.</em> (2010), Figure 2."
acuta	3	"Photo from Shih <em>et al.</em> (2010), Figure 2."
acuta	4	"Photo from Shih <em>et al.</em> (2010), Figure 2."
albimana	1	"Photo from Naderloo <em>et al.</em> (2010), Figure 6."
albimana	2	"Photo from Naderloo <em>et al.</em> (2010), Figure 6."
annulipes	4	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
annulipes	5	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
annulipes	6	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
annulipes	11	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
annulipes	12	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
annulipes	13	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
annulipes	14	"Photo from Naderloo <em>et al.</em> (2010), Figure 12."
annulipes	15	"Photo from Naderloo <em>et al.</em> (2010), Figure 12."
annulipes	16	"Photo from Naderloo <em>et al.</em> (2010), Figure 12."
arcuata	1	"Photo from Shih <em>et al.</em> (2010), Figure 2."
arcuata	2	"Photo from Shih <em>et al.</em> (2010), Figure 2."
arcuata	7	This photo was originally obtained from a webpage which no longer appears to exist.
arcuata	8	This photo was originally obtained from a webpage which no longer appears to exist.
arcuata	9	This photo was originally obtained from a webpage which no longer appears to exist.
arcuata	10	This photo was originally obtained from a webpage which no longer appears to exist.
arcuata	14	"Photo originally obtained from a <a href=""http://content.edu.tw/senior/geo/ks_ks/main/local/tapen/ocean2.htm"">website in Taiwan</a>."
arcuata	15	This photo was originally obtained from a webpage which no longer appears to exist.
arcuata	17	"Photo originally obtained from <a href=""http://www.wetland.org.tw/english/index.htm"">Wetlands Taiwan</a>."
arcuata	18	"Photo originally obtained from <a href=""http://www.wetland.org.tw/english/index.htm"">Wetlands Taiwan</a>."
arcuata	19	This photo was originally obtained from a webpage which no longer appears to exist.
argillicola	1	"Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama."
batuenta	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
batuenta	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
beebei	1	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
beebei	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
boninensis	1	"Photo from Shih <em>et al.</em> (2013), Figure 2."
boninensis	2	"Photo from Shih <em>et al.</em> (2013), Figure 3."
boninensis	3	"Photo from Shih <em>et al.</em> (2013), Figure 3."
boninensis	4	"Photo from Shih <em>et al.</em> (2013), Figure 6."
boninensis	5	"Photo from Shih <em>et al.</em> (2013), Figure 6."
boninensis	6	"Photo from Shih <em>et al.</em> (2013), Figure 6."
boninensis	7	"Photo from Shih <em>et al.</em> (2013), Figure 7."
boninensis	8	"Photo from Shih <em>et al.</em> (2013), Figure 7."
boninensis	9	"Photo from Shih <em>et al.</em> (2013), Figure 7."
borealis	1	"Photo from Shih <em>et al.</em> (2010), Figure 5."
borealis	2	"Photo from Shih <em>et al.</em> (2010), Figure 5."
borealis	3	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
borealis	4	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
borealis	5	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
borealis	6	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
borealis	7	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
borealis	9	This photo was originally obtained from a webpage which no longer appears to exist.
borealis	10	"Photo originally obtained from a <a href=""http://content.edu.tw/senior/geo/ks_ks/main/local/tapen/ocean2.htm"">website in Taiwan</a>."
borealis	11	"Photo originally obtained from <a href=""http://www.wetland.org.tw/english/index.htm"">Wetlands Taiwan</a>."
borealis	12	"Photo originally obtained from <a href=""http://www.wetland.org.tw/english/index.htm"">Wetlands Taiwan</a>."
borealis	13	This photo was originally obtained from a webpage which no longer appears to exist.
burgersi	1	This photo was originally obtained from a webpage which no longer appears to exist.
burgersi	2	This photo was originally obtained from a webpage which no longer appears to exist.
burgersi	3	This photo was originally obtained from a webpage which no longer appears to exist.
burgersi	4	"On St. Johns, US Virgin Islands. Photo originally obtained from a webpage which no longer appears to exist."
burgersi	5	"Photo by Chris Lukhaup, NW Florida. I think this is <em class=""species"">Uca burgersi.</em>"
burgersi	6	"Photo from Thurman <em>et al.</em> (2013), Figure 1."
capricornis	1	"Photo from George &amp; Jones (1982). It was labeled as <em class=""species"">U. pavo</em>."
capricornis	2	"Photo from George &amp; Jones (1982). It was labeled as <em class=""species"">U. pavo</em>."
chlorophthalmus	1	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
chlorophthalmus	2	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
chlorophthalmus	3	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
chlorophthalmus	4	"Photo originally obtained from <a href=""http://www.madeinnys.com/mangrove/"">A field guide to Kenyan mangroves</a>."
chlorophthalmus	5	"Photo from Shih <em>et al.</em> (2013), Figure 7."
chlorophthalmus	6	"Photo from Shih <em>et al.</em> (2013), Figure 7."
coarctata	1	Photo from George &amp; Jones (1982).
coarctata	2	"Photo originally obtained from <a href=""http://web.nchu.edu.tw/~htshih/SHIH_e.html"">Hsi-Te Shih's website</a>."
coarctata	3	"Photo originally obtained from <a href=""http://www.wetland.org.tw/english/index.htm"">Wetlands Taiwan</a>."
crassipes	1	"Photo from Shih <em>et al.</em> (2012), Figure 5."
crassipes	2	"Photo from Shih <em>et al.</em> (2012), Figure 5."
crassipes	3	"Photo from Shih <em>et al.</em> (2012), Figure 5."
crassipes	4	"Photo from Shih <em>et al.</em> (2012), Figure 5."
crassipes	5	"Photo from Shih <em>et al.</em> (2012), Figure 5."
crassipes	6	"Photo from Shih <em>et al.</em> (2012), Figure 5."
crassipes	7	"Photo from Barnes (2010), Figure 1."
crassipes	8	This photo was originally obtained from a webpage which no longer appears to exist.
crassipes	9	"Photo originally obtained from the <a href=""http://decapoda.free.fr/index.php"">Database of Crustacea from French Polynesia</a>."
crassipes	10	"Photo originally obtained from the <a href=""http://decapoda.free.fr/index.php"">Database of Crustacea from French Polynesia</a>."
crassipes	11	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	12	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	13	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	14	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	15	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	16	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	17	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	18	On Aitutaki of the Cook Islands. Photo by Peter Endres. 
crassipes	19	Photo by Chris Lukhaup.
crassipes	20	Photo by Chris Lukhaup.
crassipes	21	American Samoa. Photo by Francesca Riolo.
crassipes	22	American Samoa. Photo by Francesca Riolo.
crassipes	23	"Sulawesi, Indonesia. Photo by <a href=""http://www.ryanphotographic.com/"">Paddy Ryan</a>."
crassipes	24	This photo was originally obtained from a webpage which no longer appears to exist.
crassipes	25	"Photo originally obtained from <a href=""http://www.wetland.org.tw/english/index.htm"">Wetlands Taiwan</a>."
crassipes	26	"Photo originally obtained from <a href=""http://www.wetland.org.tw/english/index.htm"">Wetlands Taiwan</a>."
crassipes	27	"Photo originally obtained from the <a href=""http://decapoda.free.fr/index.php"">Database of Crustacea from French Polynesia</a>."
crassipes	28	"Photo originally obtained from the <a href=""http://decapoda.free.fr/index.php"">Database of Crustacea from French Polynesia</a>."
crassipes	29	"Photo originally obtained from the <a href=""http://decapoda.free.fr/index.php"">Database of Crustacea from French Polynesia</a>."
crassipes	30	"Photo from Shih <em>et al.</em> (2013), Figure 7."
crassipes	31	"Photo from Shih <em>et al.</em> (2013), Figure 7."
crassipes	32	"Photo from Shih <em>et al.</em> (2013), Figure 7."
crenulata	1	"Gulf coast of southern Baja California, Mexico. Photo by Steve Dunbar. I believe this is <em class=""species"">Uca crenulata.</a>"
crenulata	2	"Gulf coast of southern Baja California, Mexico. Photo by Steve Dunbar. I believe this is <em class=""species"">Uca crenulata.</a>"
crenulata	3	"Gulf coast of southern Baja California, Mexico. Photo by Steve Dunbar. I believe this is <em class=""species"">Uca crenulata.</a>"
cumulanta	1	"Photo from Thurman <em>et al.</em> (2013), Figure 1."
dampieri	1	Photo from George &amp; Jones (1982).
deichmanni	1	"Photo by M.S. Rosenberg, fall 1997, Naos, Panama City, Panama."
deichmanni	2	"Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama."
deichmanni	3	"Gravid female. Photo by M.S. Rosenberg, fall 1997, Naos, Panama City, Panama."
