species	subgenus	type	typeref	common	common(s)	range	rangecites	region	status
acuta	Tubuca	Gelasimus acutus	Stimpson1858	Acute Fiddler Crab	Acute Fiddler Crab	China (Hong Kong to Fuzhou)	Crane1975;Bairagi1988;Jones1994	Indo-West Pacific	extant
albimana	Austruca	Gelasimus annulipes var. albimana	Kossmann1877	White-handed Fiddler Crab	White-handed Fiddler Crab	"Red Sea, Gulf of Aden, Socotra, Arabian Sea, Oman (Dhofar), south Gulf of Oman, southeastern Persian Gulf::::(Naderloo and Turkay) SW part of Persian Gulf; W part of Gulf of Oman"	Shih2009;Naderloo2010;Naderloo2012	Indo-West Pacific	extant
annulipes	Austruca	Gelasimus annulipes	MilneEdwards1837.2	Ring-legged Fiddler Crab	Ring-legged Fiddler Crab	"Madagascar, South Africa to Somalia, India to southern China, Philippines, Indonesia, Malaysia"	Shih2009;Naderloo2010;Naderloo2012	Indo-West Pacific	extant
antiqua	Uca	Uca maracoani antiqua	Brito1972	#	#	Northern Brazil	Brito1972	Miocene	fossil
arcuata	Tubuca	Gelasimus arcuatus	deHaan1835	Bowed Fiddler Crab	Bowed Fiddler Crab	"China, Taiwan, Korea, Japan"	Crane1975;Fukui1989;Huang1989;Dai1991;Hosoya1993;Jones1994	Indo-West Pacific	extant
argillicola	Leptuca	Uca argillicola	Crane1941	Clay Fiddler Crab	Clay Fiddler Crab	Costa Rica (Gulf of Dulce) to Colombia (Buenaventura)	Crane1975;vonPrahl1982	Eastern Pacific	extant
batuenta	Leptuca	Uca batuenta	Crane1941	Beating Fiddler Crab	Beating Fiddler Crab	El Salvador to northern Peru	Crane1975	Eastern Pacific	extant
beebei	Leptuca	Uca beebei	Crane1941	Beebe's Fiddler Crab	Beebe's Fiddler Crab	El Salvador to northern Peru	Crane1975	Eastern Pacific	extant
bellator	Australuca	Gelasimus bellator	Adams1848	Belligerent Fiddler Crab	Belligerent Fiddler Crab	"Philippines, Malaysia, Indonesia"	Crane1975;vonHagen1989;Krishnan1992.1	Indo-West Pacific	extant
bengali	Austruca	Uca triangularis bengali	Crane1975	Bengal Fiddler Crab	Bengal Fiddler Crab	"Eastern India, Burma, Thailand, Western Malaysia, Indonesia (Sumatra)"	Crane1975;Chakraborty1985;Rao1985.3;Krishnan1992.1	Indo-West Pacific	extant
boninensis	Paraleptuca	Uca boninensis	Shih2013.2	Bonin Islands Fiddler Crab	"Bonin Islands Fiddler Crab, Ogasawara-beni-shiomaneki"	"Ogasawara Islands, Japan"	Shih2013.2	Indo-West Pacific	extant
borealis	Gelasimus	Uca vocans borealis	Crane1975	Northern Calling Fiddler Crab	Northern Calling Fiddler Crab	"China, Taiwan"	Crane1975;Dai1986;Huang1989;Fukui1989;Jones1994	Indo-West Pacific	extant
brevifrons	Minuca	Gelasimus brevifrons	Stimpson1860	Narrow-fronted Fiddler Crab	Narrow-fronted Fiddler Crab	Panama to Mexico (southern Gulf of California)	Crane1975;Brusca1980	Eastern Pacific	extant
burgersi	Minuca	Uca burgersi	Holthuis1967	Burger's Fiddler Crab	Burger's Fiddler Crab	"Mexico to Venezuela, Brazil, Caribbean &amp; West Indies, USA (southern Florida)"	Crane1975;Powers1977;Barnwell1984.1;Abele1986;Barnwell1986.1;Thurman1987.1;Thurman2013.1	Western Atlantic	extant
capricornis	Tubuca	Uca dussumieri capricornis	Crane1975	Capricorn Fiddler Crab	Capricorn Fiddler Crab	Australia (Northwest coast through North coast)	George1982;vonHagen1989	Indo-West Pacific	extant
chlorophthalmus	Paraleptuca	Gelasimus chlorophthalmus	MilneEdwards1837.2	Green-eyed Fiddler Crab	Green-eyed Fiddler Crab	"Eastern Africa - Kenya to South Africa, Madagascar"	Crane1975;Icely1978;Krishnan1992.1;Cannici1999	Indo-West Pacific	extant
coarctata	Tubuca	Gelasimus coarctatus	MilneEdwards1852	Compressed Fiddler Crab	Compressed Fiddler Crab	"Australia (northeast coast), Indonesia, Philippines, New Guinea, Taiwan"	Crane1975;George1982;Fukui1989;Huang1989;vonHagen1989;Jones1994	Indo-West Pacific	extant
coloradensis	Leptuca	Gelasimus coloradensis	Rathbun1893	Painted Fiddler Crab	Painted Fiddler Crab	"Gulf of California, Mexico (Bahia San Felipe to Guaymas)"	Crane1975;Brusca1980;Garth1980;Green1980	Eastern Pacific	extant
crassipes	Paraleptuca	Gelasimus crassipes	Adams1848	Thick-legged Fiddler Crab	Thick-legged Fiddler Crab	"China, Japan, Philippines, Thailand, Indonesia, Papa New Guinea, Melanesia, Micronesia"	Crane1975;George1982;vonHagen1989;Huang1989;Dai1991;Jones1994;Barnes2010	Indo-West Pacific	extant
crenulata	Leptuca	Gelasimus crenulatus	Lockington1877.2	Crenulated Fiddler Crab	"Crenulated Fiddler Crab, Notched Fiddler Crab, Mexican Fiddler Crab"	USA (rarely as far north as Santa Barbara) to Mexico (Nayarit)	Crane1975;Brusca1980;Green1980;Garth1980;Hendrickx1984;Hubbard1989;LeijaTristan1990	Eastern Pacific	extant
cryptica	Austruca	Uca cryptica	Naderloo2010	Cryptic Fiddler Crab	Cryptic Fiddler Crab	"Indonesia, Philippines"	Naderloo2010	Indo-West Pacific	extant
cumulanta	Leptuca	Uca cumulanta	Crane1943.2	Heaping Fiddler Crab	Heaping Fiddler Crab	"Jamaica, Colombia to Brazil"	Thurman2013.1	Western Atlantic	extant
dampieri	Gelasimus	Uca vocans dampieri	Crane1975	Dampier's Fiddler Crab	"Australian Calling Fiddler Crab, Dampier's Fiddler Crab"	Australia (Northwest coast through North coast)	George1982;vonHagen1989	Indo-West Pacific	extant
deichmanni	Leptuca	Uca deichmanni	Rathbun1935.1	Deichmann's Fiddler Crab	Deichmann's Fiddler Crab	Costa Rica to northern Colombia	Crane1975;vonPrahl1982	Eastern Pacific	extant
demani	Tubuca	Uca demani	Ortmann1897	Demanding Fiddler Crab	Demanding Fiddler Crab	"Indonesia, Southern Philippines"	Crane1975;Barnes2010	Indo-West Pacific	extant
dorotheae	Leptuca	Uca dorotheae	vonHagen1968.2	Dorothy's Fiddler Crab	Dorothy's Fiddler Crab	Panama (Gulf Zone) to northern Peru	Crane1975;vonPrahl1982	Eastern Pacific	extant
dussumieri	Tubuca	Gelasimus dussumieri	MilneEdwards1852	Dussumier's Fiddler Crab	Dussumier's Fiddler Crab	"China, Taiwan, Thailand, Indonesia, Northwestern Australia, Papa New Guinea"	"Crane1975;Frith1977.1;Frith1977.3;Frith1978;Macintosh1978;Macintosh1988;George1982;Salmon1984.1;Jones1994;Huang1989,vonHagen1989;Dai1991;Barnes2010"	Indo-West Pacific	extant
ecuadoriensis	Minuca	Uca ecuadoriensis	Maccagno1928	Pacific Hairback Fiddler Crab	Pacific Hairback Fiddler Crab; Ecuadorian Fiddler Crab	"Mexico (Kino Bay, Sonora) to northern Peru"	Crane1975;Hendrickx1979;Brusca1980;vonPrahl1982	Eastern Pacific	extant
elegans	Australuca	Uca elegans	George1982	Elegant Fiddler Crab	Elegant Fiddler Crab	Australia (Northwest coast through North coast)	George1982;vonHagen1989	Indo-West Pacific	extant
festae	Leptuca	Uca festae	Nobili1901.3	Festa's Fiddler Crab	Festa's Fiddler Crab	El Salvador to Ecuador	Crane1975;vonPrahl1982;Abele1989	Eastern Pacific	extant
flammula	Tubuca	Uca flammula	Crane1975	Flame-backed Fiddler Crab	Flame-backed Fiddler Crab	"Australia (Northwest Coast to North Coast), New Guinea (Western)"	Crane1975;George1982;vonHagen1989	Indo-West Pacific	extant
