Reference	Right Count	Left Count	Right %	Left %	Notes
Rosenberg2000	2	4	0.333	0.667	
Yamaguchi1977	312	315	0.498	0.502	
Yamaguchi1977	902	877	0.507	0.493	
Yamaguchi1977	791	801	0.497	0.503	
Yamaguchi1977	113	117	0.491	0.509	
Yamaguchi1977	482	464	0.510	0.490	
Yamaguchi1977	533	525	0.504	0.496	
Yamaguchi1977	273	273	0.500	0.500	
Yamaguchi1977	86	96	0.473	0.527	
Yamaguchi1977	51	52	0.495	0.505	
Yamaguchi1977	14	17	0.452	0.548	
Yamaguchi1977	26	22	0.542	0.458	
Yamaguchi1977	69	69	0.500	0.500	
Yamaguchi1977	50	41	0.549	0.451	
Yamaguchi1977	72	71	0.503	0.497	
Yamaguchi1977	30	21	0.588	0.412	
Yamaguchi1977	169	161	0.512	0.488	
Yamaguchi1977	98	95	0.508	0.492	
Yamaguchi1994	29	29	0.500	0.500	

