Reference	Right Count	Left Count	Right %	Left %	Notes
Jones1982	12	0	1.000	0.000	Right/left counts derived from reported totals and proportions
Frith1977.2	90	3	0.968	0.032	
Rosenberg2000	7	0	1.000	0.000	
Barnwell1982	23	0	1.000	0.000	
Barnwell1982	38	1	0.974	0.026	
Barnwell1982	1	0	1.000	0.000	
Barnwell1982	51	1	0.981	0.019	
Barnwell1982	1	0	1.000	0.000	
Barnwell1982	0	1	0.000	1.000	
Barnwell1982	2	0	1.000	0.000	
Barnwell1982	20	0	1.000	0.000	
Barnwell1982	1	0	1.000	0.000	
Barnwell1982	2	0	1.000	0.000	
Barnwell1982	0	1	0.000	1.000	
Barnwell1982	1	0	1.000	0.000	
Barnwell1982	1	0	1.000	0.000	
Barnwell1982	2	0	1.000	0.000	
Barnwell1982	3	0	1.000	0.000	
Barnwell1982	1	0	1.000	0.000	
Barnwell1982	2	0	1.000	0.000	
Barnwell1982	9	0	1.000	0.000	
Barnwell1982	8	0	1.000	0.000	
Barnwell1982	2	0	1.000	0.000	
Barnwell1982	1	0	1.000	0.000	
Barnwell1982	2	0	1.000	0.000	
Barnwell1982	2	0	1.000	0.000	
Barnwell1982	1	0	1.000	0.000	
Barnwell1982	1	0	1.000	0.000	
Barnwell1982	6	0	1.000	0.000	
Barnwell1982	2	0	1.000	0.000	
Barnwell1982	3	0	1.000	0.000	
Barnwell1982	1	0	1.000	0.000	
Barnwell1982	9	0	1.000	0.000	
Barnwell1982	1	0	1.000	0.000	
Barnwell1982	2	0	1.000	0.000	
Barnwell1982	2	0	1.000	0.000	
Barnwell1982	2	0	1.000	0.000	
Barnwell1982	6	0	1.000	0.000	
Barnwell1982	19	2	0.905	0.095	
Barnwell1982	12	2	0.857	0.143	
Barnwell1982	9	0	1.000	0.000	
Barnwell1982	14	1	0.933	0.067	
Barnwell1982	6	0	1.000	0.000	
Barnwell1982	3	0	1.000	0.000	
Yamaguchi1994	99	6	0.943	0.057	
Jaroensutasinee2004	11	1	0.917	0.083	
Weis2004	26	2	0.929	0.071	

