Individuals
Reference	Sex	Width	Notes
Crane1975	female	13.5	
Crane1975	female	22	
Crane1975	male	23	
Crane1975	male	25	
Crane1975	male	25.5	
Jaroensutasinee2002	male	11.7	digitized from figure 2a
Jaroensutasinee2002	male	15.2	digitized from figure 2a
Jaroensutasinee2002	male	16	digitized from figure 2a
Jaroensutasinee2002	male	18.2	digitized from figure 2a
Jaroensutasinee2002	male	19	digitized from figure 2a
Jaroensutasinee2002	male	19.7	digitized from figure 2a
Jaroensutasinee2002	male	20.4	digitized from figure 2a
Jaroensutasinee2002	male	21.6	digitized from figure 2a
Jaroensutasinee2002	male	23.6	digitized from figure 2a
Jaroensutasinee2002	male	24.3	digitized from figure 2a
Jaroensutasinee2002	male	22.7	digitized from figure 2a
Jaroensutasinee2002	male	22	digitized from figure 2a
Jaroensutasinee2002	male	22.5	digitized from figure 2a
Jaroensutasinee2002	male	22.7	digitized from figure 2a
Jaroensutasinee2002	male	23	digitized from figure 2a
Jaroensutasinee2002	male	23.5	digitized from figure 2a
Jaroensutasinee2002	male	23.3	digitized from figure 2a
Jaroensutasinee2002	male	23.6	digitized from figure 2a
Jaroensutasinee2002	male	24.1	digitized from figure 2a
Jaroensutasinee2002	male	24.1	digitized from figure 2a
Jaroensutasinee2002	male	24.9	digitized from figure 2a
Jaroensutasinee2002	male	28.8	digitized from figure 2a
Jaroensutasinee2002	male	24.9	digitized from figure 2a
Jaroensutasinee2002	male	24.3	digitized from figure 2a
Jaroensutasinee2002	male	24	digitized from figure 2a
Jaroensutasinee2002	male	24	digitized from figure 2a
Jaroensutasinee2002	male	23.8	digitized from figure 2a
Jaroensutasinee2002	male	23.1	digitized from figure 2a
Jaroensutasinee2002	male	23.4	digitized from figure 2a
Jaroensutasinee2002	male	23.7	digitized from figure 2a
Jaroensutasinee2002	male	23.7	digitized from figure 2a
Jaroensutasinee2002	male	22.7	digitized from figure 2a
Jaroensutasinee2002	male	23.2	digitized from figure 2a
Jaroensutasinee2002	male	23	digitized from figure 2a
Jaroensutasinee2002	male	21.8	digitized from figure 2a
Jaroensutasinee2002	male	21.5	digitized from figure 2a
Jaroensutasinee2002	male	21.3	digitized from figure 2a
Jaroensutasinee2002	male	21.5	digitized from figure 2a
Jaroensutasinee2002	male	21.8	digitized from figure 2a
Jaroensutasinee2002	male	21.6	digitized from figure 2a
Jaroensutasinee2002	male	21.9	digitized from figure 2a
Jaroensutasinee2002	male	22.3	digitized from figure 2a
Jaroensutasinee2002	male	22.1	digitized from figure 2a
Jaroensutasinee2002	male	21.9	digitized from figure 2a
Jaroensutasinee2002	male	21.8	digitized from figure 2a
Jaroensutasinee2002	male	21.3	digitized from figure 2a
Jaroensutasinee2002	male	21.3	digitized from figure 2a
Jaroensutasinee2002	male	21.4	digitized from figure 2a
Jaroensutasinee2002	male	21.2	digitized from figure 2a
Jaroensutasinee2002	male	20.9	digitized from figure 2a
Jaroensutasinee2002	male	20.7	digitized from figure 2a
Jaroensutasinee2002	male	20.4	digitized from figure 2a
Jaroensutasinee2002	male	20.8	digitized from figure 2a
Jaroensutasinee2002	male	21.1	digitized from figure 2a
Jaroensutasinee2002	male	19.4	digitized from figure 2a
Jaroensutasinee2002	male	20.3	digitized from figure 2a
Jaroensutasinee2002	male	20	digitized from figure 2a
Jaroensutasinee2002	male	20.7	digitized from figure 2a
Jaroensutasinee2002	male	20.7	digitized from figure 2a
Jaroensutasinee2002	male	20.3	digitized from figure 2a
Jaroensutasinee2002	male	20.3	digitized from figure 2a
Jaroensutasinee2002	male	20.9	digitized from figure 2a
Jaroensutasinee2002	male	21.3	digitized from figure 2a
Jaroensutasinee2002	male	20.4	digitized from figure 2a
Jaroensutasinee2002	male	20.4	digitized from figure 2a
Jaroensutasinee2002	male	20.4	digitized from figure 2a
Jaroensutasinee2002	male	21.5	digitized from figure 2a
Jaroensutasinee2002	male	21.9	digitized from figure 2a
Jaroensutasinee2002	male	20.6	digitized from figure 2a
Jaroensutasinee2002	male	20.2	digitized from figure 2a
Jaroensutasinee2002	male	18.6	digitized from figure 2a
Jaroensutasinee2002	male	18.7	digitized from figure 2a
Jaroensutasinee2002	male	18.8	digitized from figure 2a
Jaroensutasinee2002	male	18.7	digitized from figure 2a
Jaroensutasinee2002	male	19	digitized from figure 2a
Jaroensutasinee2002	male	18.8	digitized from figure 2a
Jaroensutasinee2002	male	19.1	digitized from figure 2a
Jaroensutasinee2002	male	17.8	digitized from figure 2a
Jaroensutasinee2002	male	18.1	digitized from figure 2a
Jaroensutasinee2002	male	17.2	digitized from figure 2a
Jaroensutasinee2002	male	16.9	digitized from figure 2a
Jaroensutasinee2002	male	16.6	digitized from figure 2a
Jaroensutasinee2002	male	17	digitized from figure 2a
Jaroensutasinee2002	male	17	digitized from figure 2a
Jaroensutasinee2002	male	17	digitized from figure 2a
Jaroensutasinee2002	male	16.2	digitized from figure 2a
Jaroensutasinee2002	male	16	digitized from figure 2a
Jaroensutasinee2002	male	15.5	digitized from figure 2a
Jaroensutasinee2002	male	14.3	digitized from figure 2a
Jaroensutasinee2002	male	14.2	digitized from figure 2a
Jaroensutasinee2002	male	13.8	digitized from figure 2a
Jaroensutasinee2002	male	15.1	digitized from figure 2a
Jaroensutasinee2002	male	15.3	digitized from figure 2a
Jaroensutasinee2002	male	15.7	digitized from figure 2a
Jaroensutasinee2002	male	15.4	digitized from figure 2a
Jaroensutasinee2002	male	14.5	digitized from figure 2a
Jaroensutasinee2002	male	13.1	digitized from figure 2a
Jaroensutasinee2002	male	23.8	digitized from figure 2a
Jaroensutasinee2002	male	24.5	digitized from figure 2a
Jaroensutasinee2002	male	21.2	digitized from figure 2a
Jaroensutasinee2002	male	23.7	digitized from figure 2a
Jaroensutasinee2002	male	24.5	digitized from figure 2a
Jaroensutasinee2002	male	25.6	digitized from figure 2a
Jaroensutasinee2002	male	25.1	digitized from figure 2a
Jaroensutasinee2002	male	26.8	digitized from figure 2a
Jaroensutasinee2002	male	28.4	digitized from figure 2a
Jaroensutasinee2002	male	25.6	digitized from figure 2a
Jaroensutasinee2002	male	25.8	digitized from figure 2a
Jaroensutasinee2002	male	25.2	digitized from figure 2a
Jaroensutasinee2002	male	24.8	digitized from figure 2a
Jaroensutasinee2002	male	25	digitized from figure 2a
Jaroensutasinee2002	male	24.4	digitized from figure 2a
Jaroensutasinee2002	male	24.6	digitized from figure 2a
Jaroensutasinee2002	male	24.1	digitized from figure 2a
Jaroensutasinee2002	male	23.4	digitized from figure 2a
Jaroensutasinee2002	male	23.2	digitized from figure 2a
Jaroensutasinee2002	male	22.9	digitized from figure 2a
Jaroensutasinee2002	male	22.5	digitized from figure 2a
Jaroensutasinee2002	male	17.5	digitized from figure 2a
Jaroensutasinee2002	male	20.5	digitized from figure 2a
Jaroensutasinee2002	male	21.1	digitized from figure 2a
Jaroensutasinee2002	male	22	digitized from figure 2a
Jaroensutasinee2002	male	22.5	digitized from figure 2a
Jaroensutasinee2002	male	22.7	digitized from figure 2a
Jaroensutasinee2002	male	23.3	digitized from figure 2a
Jaroensutasinee2002	male	22.4	digitized from figure 2a
Jaroensutasinee2002	male	21.7	digitized from figure 2a
Jaroensutasinee2002	male	20.7	digitized from figure 2a
Jaroensutasinee2002	male	20.5	digitized from figure 2a
Jaroensutasinee2002	male	21.8	digitized from figure 2a
Jaroensutasinee2002	male	22.3	digitized from figure 2a
Jaroensutasinee2002	male	20.4	digitized from figure 2a
Jaroensutasinee2002	male	21.3	digitized from figure 2a
Jaroensutasinee2002	male	21.8	digitized from figure 2a
Jaroensutasinee2002	male	21.9	digitized from figure 2a
Jaroensutasinee2002	male	21.8	digitized from figure 2a
Jaroensutasinee2002	male	22.1	digitized from figure 2a
Jaroensutasinee2002	male	22.3	digitized from figure 2a
Jaroensutasinee2002	male	22.7	digitized from figure 2a
