Individuals
Reference	Sex	Width	Notes
Crane1975	female	26.5	
Crane1975	male	32	
Crane1975	female	33	
Crane1975	male	34	
Crane1975	male	42.5	
Rosenberg2000	male	18.15	
Rosenberg2000	male	37.6	
Rosenberg2000	male	21.05	
Rosenberg2000	male	39.15	
Rosenberg2000	male	34.4	
Rosenberg2000	male	33.8	
Rosenberg2000	male	35.75	
vonHagen1970.4	male	44.3	

Ranges
Reference	Sex	n	Min	Max	Notes
Holthuis1959.1	male	2	10	45	
Holthuis1959.1	female	2	10	35	

Histogram Counts
Reference	Set	Sex	n	Min	Max	Notes
Koch2005	Koch (2005) male maracoani set	male	10.54	5	6	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	8.47	6	7	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	6.23	7	8	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	4.63	8	9	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	5.43	9	10	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	5.43	10	11	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	4.15	11	12	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	4.15	12	13	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	3.83	13	14	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	3.99	14	15	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	3.35	15	16	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	3.51	16	17	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	4.31	17	18	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	4.31	18	19	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	2.88	19	20	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	3.51	20	21	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	3.67	21	22	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	2.88	22	23	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	2.88	23	24	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	2.72	24	25	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	2.24	25	26	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	2.72	26	27	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	1.6	28	29	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	0.48	29	30	counts are averages across multiple samplings, rather than pure frequency counts
Koch2005	Koch (2005) male maracoani set	male	0.8	30	31	counts are averages across multiple samplings, rather than pure frequency counts
