Individuals
Reference	Sex	Width	Notes
Crane1975	female	16	
Crane1975	male	17	
Crane1975	female	19	
Crane1975	male	20	
Crane1975	male	21	
Hyatt1977.1	male	8.5	digitized from figure 1
Hyatt1977.1	male	11	digitized from figure 1
Hyatt1977.1	male	8	digitized from figure 1
Hyatt1977.1	male	7.5	digitized from figure 1
Hyatt1977.1	male	5.1	digitized from figure 1
Hyatt1977.1	male	5.6	digitized from figure 1
Hyatt1977.1	male	7	digitized from figure 1
Hyatt1977.1	male	7.1	digitized from figure 1
Hyatt1977.1	male	7.5	digitized from figure 1
Hyatt1977.1	male	9.5	digitized from figure 1
Hyatt1977.1	male	10	digitized from figure 1
Hyatt1977.1	male	10	digitized from figure 1
Hyatt1977.1	male	11.5	digitized from figure 1
Hyatt1977.1	male	13	digitized from figure 1
Hyatt1977.1	male	17.5	digitized from figure 1
Hyatt1977.1	male	16.5	digitized from figure 1
Hyatt1977.1	male	16.5	digitized from figure 1
Hyatt1977.1	male	17	digitized from figure 1
Hyatt1977.1	male	18	digitized from figure 1
Hyatt1977.1	male	17.5	digitized from figure 1
Hyatt1977.1	male	20	digitized from figure 1
Hyatt1977.1	male	18	digitized from figure 1
Hyatt1977.1	male	17.5	digitized from figure 1
Hyatt1977.1	male	17	digitized from figure 1
Hyatt1977.1	male	17	digitized from figure 1
Hyatt1977.1	male	16	digitized from figure 1
Hyatt1977.1	male	16	digitized from figure 1
Hyatt1977.1	male	15.5	digitized from figure 1
Hyatt1977.1	male	14.5	digitized from figure 1
Hyatt1977.1	male	14	digitized from figure 1
Hyatt1977.1	male	13.6	digitized from figure 1
Hyatt1977.1	male	12.5	digitized from figure 1
Hyatt1977.1	male	12	digitized from figure 1
Hyatt1977.1	male	12	digitized from figure 1
Hyatt1977.1	male	10.5	digitized from figure 1
Hyatt1977.1	male	11	digitized from figure 1
Hyatt1977.1	male	9.5	digitized from figure 1
Hyatt1977.1	male	9.5	digitized from figure 1
Hyatt1977.1	male	9	digitized from figure 1
Hyatt1977.1	male	8	digitized from figure 1
Hyatt1977.1	male	8	digitized from figure 1
Hyatt1977.1	male	4.5	digitized from figure 1
Hyatt1977.1	male	7	digitized from figure 1
Hyatt1977.1	male	7	digitized from figure 1
Hyatt1977.1	male	7	digitized from figure 1
Hyatt1977.1	male	7	digitized from figure 1
Hyatt1977.1	male	5.6	digitized from figure 1
Hyatt1977.1	male	6.5	digitized from figure 1
Hyatt1977.1	male	7	digitized from figure 1
Hyatt1977.1	male	7	digitized from figure 1
Hyatt1977.1	male	9.5	digitized from figure 1
Hyatt1977.1	male	8	digitized from figure 1
Hyatt1977.1	male	8	digitized from figure 1
Hyatt1977.1	male	9	digitized from figure 1
Hyatt1977.1	male	9	digitized from figure 1
Hyatt1977.1	male	9.5	digitized from figure 1
Hyatt1977.1	male	10.1	digitized from figure 1
Hyatt1977.1	male	10	digitized from figure 1
Hyatt1977.1	male	10	digitized from figure 1
Hyatt1977.1	male	10.5	digitized from figure 1
Hyatt1977.1	male	11	digitized from figure 1
Hyatt1977.1	male	11	digitized from figure 1
Hyatt1977.1	male	11.1	digitized from figure 1
Hyatt1977.1	male	11	digitized from figure 1
Hyatt1977.1	male	12.1	digitized from figure 1
Hyatt1977.1	male	12.5	digitized from figure 1
Hyatt1977.1	male	13.1	digitized from figure 1
Hyatt1977.1	male	13.6	digitized from figure 1
Hyatt1977.1	male	13.1	digitized from figure 1
Hyatt1977.1	male	12.6	digitized from figure 1
Hyatt1977.1	male	12	digitized from figure 1
Hyatt1977.1	male	12.5	digitized from figure 1
Hyatt1977.1	male	12	digitized from figure 1
Hyatt1977.1	male	14	digitized from figure 1
Hyatt1977.1	male	14	digitized from figure 1
Hyatt1977.1	male	14	digitized from figure 1
Hyatt1977.1	male	13.6	digitized from figure 1
Hyatt1977.1	male	13.6	digitized from figure 1
Hyatt1977.1	male	14.6	digitized from figure 1
Hyatt1977.1	male	14.5	digitized from figure 1
Hyatt1977.1	male	14.6	digitized from figure 1
Hyatt1977.1	male	15	digitized from figure 1
Hyatt1977.1	male	16.1	digitized from figure 1
Hyatt1977.1	male	16.1	digitized from figure 1
Hyatt1977.1	male	16.1	digitized from figure 1
Hyatt1977.1	male	17.1	digitized from figure 1
Hyatt1977.1	male	17.1	digitized from figure 1
Hyatt1977.1	male	16.6	digitized from figure 1
Hyatt1977.1	male	16.6	digitized from figure 1
Hyatt1977.1	male	17.1	digitized from figure 1
Hyatt1977.1	male	17.5	digitized from figure 1
Hyatt1977.1	male	17.5	digitized from figure 1
Hyatt1977.1	male	17.5	digitized from figure 1
Hyatt1977.1	male	18	digitized from figure 1
Hyatt1977.1	male	18.1	digitized from figure 1
Hyatt1977.1	male	18	digitized from figure 1
Hyatt1977.1	male	18.1	digitized from figure 1
Hyatt1977.1	male	18.5	digitized from figure 1
Hyatt1977.1	male	19.5	digitized from figure 1
Hyatt1977.2	male	7	
Hyatt1977.2	male	8	
Hyatt1977.2	male	10.5	
Hyatt1977.2	male	11	
Hyatt1977.2	male	11	
Hyatt1977.2	male	11.5	
Hyatt1977.2	male	11.5	
Hyatt1977.2	male	11.5	
Hyatt1977.2	male	12.5	
Hyatt1977.2	male	12.5	
Hyatt1977.2	male	12.5	
Hyatt1977.2	male	12.5	
Hyatt1977.2	male	13	
Hyatt1977.2	male	15	
Hyatt1977.2	male	15	
Hyatt1977.2	male	15.5	
Hyatt1977.2	male	16	
Hyatt1977.2	male	16	
Hyatt1977.2	male	16.5	
Hyatt1977.2	male	16.5	
Hyatt1977.2	male	17	
Hyatt1977.2	male	17	
Hyatt1977.2	male	17	
Hyatt1977.2	male	17	
