Individuals
Reference	Sex	Width	Notes
Crane1975	female	6.5	
Crane1975	female	6.8	
Crane1975	male	7	
Crane1975	male	8.8	
Rosenberg2000	male	6.4	
Rosenberg2000	male	5.4	
Rosenberg2000	male	5.3	
Rosenberg2000	male	6.75	
Rosenberg2000	male	7.4	
Rosenberg2000	male	5.6	
Rosenberg2000	male	6.5	
Rosenberg2000	male	5.95	
Rosenberg2000	male	4.45	
Rosenberg2000	male	6	
Rosenberg2000	male	6.5	
Rosenberg2000	male	6.85	
Rosenberg2000	male	6.4	
Rosenberg2000	male	5.7	
Rosenberg2000	male	7	
Rosenberg2000	male	7	
Rosenberg2000	male	4.95	
Rosenberg2000	male	4.7	
Rosenberg2000	male	6.25	
Rosenberg2000	male	7.1	
Rosenberg2000	male	6.45	
Rosenberg2000	male	4.05	
Rosenberg2000	male	4.5	
Rosenberg2000	male	4.9	
Rosenberg2000	male	4.95	
Rosenberg2000	male	6	
Rosenberg2000	male	5.1	
Rosenberg2000	male	5.1	
Rosenberg2000	male	5.95	
Rosenberg2000	male	4.5	
Rosenberg2000	male	6.05	
Rosenberg2000	male	6.25	
Rosenberg2000	male	5.55	
Rosenberg2000	male	5.8	
Rosenberg2000	male	4.45	
Rosenberg2000	male	5.35	
Rosenberg2000	male	6.1	
Rosenberg2000	male	4.25	
Rosenberg2000	male	5.7	
Rosenberg2000	male	4.85	
Rosenberg2000	male	5.85	
Rosenberg2000	male	5.85	
Rosenberg2000	male	4.6	
Rosenberg2000	male	6.1	
Rosenberg2000	male	6	
Rosenberg2000	male	5.6	
Rosenberg2000	male	5.7	
Rosenberg2000	male	5	
Rosenberg2000	male	5.8	
Rosenberg2000	male	6.35	

