Individuals
Reference	Sex	Width	Notes
Crane1975	male	11	
Crane1975	female	11.3	
Crane1975	male	13	
Crane1975	male	16	
Rosenberg2000	male	15.15	
Rosenberg2000	male	11.9	
Rosenberg2000	male	6.2	
Rosenberg2000	male	10.2	
Rosenberg2000	male	8.05	
Rosenberg2000	male	11.65	
Rosenberg2000	male	10.4	
Rosenberg2000	male	8.9	
Rosenberg2000	male	11.15	
Rosenberg2000	male	8.45	
Rosenberg2000	male	10.15	
Rosenberg2000	male	9.25	
Rosenberg2000	male	11.85	
Rosenberg2000	male	9.75	
Rosenberg2000	male	9.4	
Rosenberg2000	male	8.35	
Rosenberg2000	male	9.7	
Rosenberg2000	male	9.05	
Rosenberg2000	male	8.35	
Rosenberg2000	male	8.1	
Rosenberg2000	male	9.75	
Rosenberg2000	male	10.25	
Rosenberg2000	male	8	
Rosenberg2000	male	8.05	
Rosenberg2000	male	6	
Rosenberg2000	male	6.45	
Rosenberg2000	male	10.05	
Rosenberg2000	male	11.25	
Rosenberg2000	male	10.3	
Rosenberg2000	male	9.95	
Rosenberg2000	male	7.35	
Rosenberg2000	male	9.55	
Rosenberg2000	male	10.45	
Rosenberg2000	male	10.9	
Rosenberg2000	male	10.8	
Rosenberg2000	male	10.4	
Rosenberg2000	male	9.95	
Rosenberg2000	male	8.4	
Rosenberg2000	male	8.7	
Rosenberg2000	male	7	
Rosenberg2000	male	8.1	
Rosenberg2000	male	10.8	
Rosenberg2000	male	9.85	
Rosenberg2000	male	10.85	
Rosenberg2000	male	10.05	
Rosenberg2000	male	5.55	
Rosenberg2000	male	8.75	
Rosenberg2000	male	9.75	
Rosenberg2000	male	10.45	
Rosenberg2000	male	10.25	
vonPrahl1982	male	10	

