Individuals
Reference	Sex	Width	Notes
Crane1975	male	7	
Crane1975	male	10.4	
Crane1975	female	11	
Rosenberg2000	male	9.8	
Rosenberg2000	male	7.2	
Rosenberg2000	male	8.85	
Rosenberg2000	male	7	
Rosenberg2000	male	7.8	
Rosenberg2000	male	7.9	
Rosenberg2000	male	9.8	
Rosenberg2000	male	7.9	
Rosenberg2000	male	8.4	
Rosenberg2000	male	7.85	
Rosenberg2000	male	9.25	
Rosenberg2000	male	8.7	
Rosenberg2000	male	9.1	
Rosenberg2000	male	7.75	
Rosenberg2000	male	7	
Rosenberg2000	male	10.35	
Rosenberg2000	male	7.6	
Rosenberg2000	male	7.4	
Rosenberg2000	male	9.25	
Rosenberg2000	male	9.25	
Rosenberg2000	male	9.05	
Rosenberg2000	male	7.1	
Rosenberg2000	male	9.2	
Rosenberg2000	male	8.85	
Rosenberg2000	male	8.5	
Rosenberg2000	male	10	
Rosenberg2000	male	7.6	
Rosenberg2000	male	9	
Rosenberg2000	male	8.1	
Rosenberg2000	male	7.9	
Rosenberg2000	male	8.2	
Rosenberg2000	male	8.25	
Rosenberg2000	male	8	
Rosenberg2000	male	8	
Rosenberg2000	male	8.3	
Rosenberg2000	male	9.1	
Rosenberg2000	male	9.1	
Rosenberg2000	male	9.3	
Rosenberg2000	male	8.75	
Rosenberg2000	male	8.5	
Rosenberg2000	male	9.85	
Rosenberg2000	male	7.7	
Rosenberg2000	male	9.55	
Rosenberg2000	male	8.7	
Rosenberg2000	male	9.2	
Rosenberg2000	male	8.65	
Rosenberg2000	male	8.3	
Rosenberg2000	male	8.05	
Rosenberg2000	male	8.6	
Rosenberg2000	male	9.3	

